"gap.indicators","non.high.needs.rate","high.needs.rate","size.of.gap","state.gap.mean.sd","is.gap.outlier","school_id","year"
"ELA Performance Index Gap ","68","53","15.1","16.8","","0025111","201415"
"Math Performance Index Gap ","57.4","44.1","13.3","19.5","","0025111","201415"
"Science Performance Index Gap ","52.7","43.7","9.1","17.3","","0025111","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0025111","201516"
"ELA Performance Index Gap ","62.5 ","50","12.5","16.6","","0025111","201516"
NA,NA,NA,NA,NA,NA,"0025111","201516"
"ELA Performance Index Gap ","75.0","66.0","9.0 ","16.8","","0026111","201415"
"Math Performance Index Gap ","60.9","48.3","12.7 ","19.5","","0026111","201415"
"Science Performance Index Gap ","56.5","42.9","13.7 ","17.3","","0026111","201415"
"Graduation Rate Gap ","91.9%","80.3%","11.6% ","12.6% ","N","0026111","201415"
"Achievement Gap Size Outlier? ","","","","","Y","0026111","201516"
"ELA Performance Index Gap ","57.4 ","47.2 ","10.1 ","16.6","","0026111","201516"
"Math Performance Index Gap ","52.1 ","41.8 ","10.3 ","19.1","","0026111","201516"
"Science Performance Index Gap ","58.0 ","40.3 ","17.6 ","17.3","","0026111","201516"
"ELA Performance Index Gap ","75","63.9","11.1","16.8","","0030111","201415"
"Math Performance Index Gap ","67.1","53.9","13.2","19.5","","0030111","201415"
"Science Performance Index Gap ","60.1","47.9","12.2","17.3","","0030111","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0030111","201516"
"ELA Performance Index Gap ","75.0 ","62.4","12.6","16.6","","0030111","201516"
NA,NA,NA,NA,NA,NA,"0030111","201516"
"ELA Performance Index Gap ","75.0 ","68.6 ","6.4 ","16.8","","0040311","201415"
"Math Performance Index Gap ","75.0 ","62.4 ","12.6 ","19.5","","0040311","201415"
"Science Performance Index Gap ",". ","N/A ",". ","17.3","","0040311","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0040311","201516"
"ELA Performance Index Gap ","75.0 ","68.6","6.4","16.6","","0040311","201516"
NA,NA,NA,NA,NA,NA,"0040311","201516"
"ELA Performance Index Gap ","75.0 ","68.6 ","6.4 ","16.8","","0040411","201415"
"Math Performance Index Gap ","75.0 ","61.8 ","13.2 ","19.5","","0040411","201415"
"Science Performance Index Gap ",". ","N/A ",". ","17.3","","0040411","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0040411","201516"
"ELA Performance Index Gap ","75.0 ","70.2","4.8","16.6","","0040411","201516"
NA,NA,NA,NA,NA,NA,"0040411","201516"
"ELA Performance Index Gap ","75","63.7","11.3","16.8","","0040511","201415"
"Math Performance Index Gap ","75","56.5","18.5","19.5","","0040511","201415"
"Science Performance Index Gap ","66.8","49.9","16.9","17.3","","0040511","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","Y","0040511","201516"
"ELA Performance Index Gap ","75.0 ","63.8","11.2","16.6","","0040511","201516"
NA,NA,NA,NA,NA,NA,"0040511","201516"
"ELA Performance Index Gap ","75","64.5","10.5","16.8","","0045111","201415"
"Math Performance Index Gap ","75","57.7","17.3","19.5","","0045111","201415"
"Science Performance Index Gap ","70.4","52.7","17.7","17.3","","0045111","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","Y","0045111","201516"
"ELA Performance Index Gap ","75.0 ","62.1","12.9","16.6","","0045111","201516"
NA,NA,NA,NA,NA,NA,"0045111","201516"
"ELA Performance Index Gap ","75.0","48.2","26.8 ","16.8","","0046111","201415"
"Math Performance Index Gap ","74.8","44.7","30.1 ","19.5","","0046111","201415"
"Science Performance Index Gap ","75.0","55.4","19.6 ","17.3","","0046111","201415"
"Graduation Rate Gap ","94.0%","93.2%","0.8% ","12.6% ","N","0046111","201415"
"Achievement Gap Size Outlier? ","","","","","Y","0046111","201516"
"ELA Performance Index Gap ","75.0 ","60.1 ","14.9 ","16.6","","0046111","201516"
"Math Performance Index Gap ","75.0 ","54.0 ","21.0 ","19.1","","0046111","201516"
"Science Performance Index Gap ","73.0 ","52.5 ","20.5 ","17.3","","0046111","201516"
"ELA Performance Index Gap ","75","62.0 ","13.0 ","16.8","","0050111","201415"
"Math Performance Index Gap ","67.2","47.1 ","20.0 ","19.5","","0050111","201415"
"Science Performance Index Gap ","63.8","N/A ",". ","17.3","","0050111","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0050111","201516"
"ELA Performance Index Gap ","75.0 ","64.8","10.2","16.6","","0050111","201516"
NA,NA,NA,NA,NA,NA,"0050111","201516"
"ELA Performance Index Gap ","75","59.5 ","15.5 ","16.8","","0070111","201415"
"Math Performance Index Gap ","69.2","52.4 ","16.8 ","19.5","","0070111","201415"
"Science Performance Index Gap ","60.6","N/A ",". ","17.3","","0070111","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0070111","201516"
"ELA Performance Index Gap ","75.0 ","61.3","13.7","16.6","","0070111","201516"
NA,NA,NA,NA,NA,NA,"0070111","201516"
"ELA Performance Index Gap ","75","64.4 ","10.6 ","16.8","","0070411","201415"
"Math Performance Index Gap ","74.1","59.9 ","14.2 ","19.5","","0070411","201415"
"Science Performance Index Gap ","62.3","N/A ",". ","17.3","","0070411","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0070411","201516"
"ELA Performance Index Gap ","75.0 ","64.4","10.6","16.6","","0070411","201516"
NA,NA,NA,NA,NA,NA,"0070411","201516"
"ELA Performance Index Gap ","75","58.5 ","16.5 ","16.8","","0070511","201415"
"Math Performance Index Gap ","69.4","53.6 ","15.8 ","19.5","","0070511","201415"
"Science Performance Index Gap ","61.9","N/A ",". ","17.3","","0070511","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0070511","201516"
"ELA Performance Index Gap ","75.0 ","65.2","9.8","16.6","","0070511","201516"
NA,NA,NA,NA,NA,NA,"0070511","201516"
"ELA Performance Index Gap ","75","56","19","16.8","","0075111","201415"
"Math Performance Index Gap ","68.9","46.5","22.4","19.5","","0075111","201415"
"Science Performance Index Gap ","68.7","52.2","16.5","17.3","","0075111","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","Y","0075111","201516"
"ELA Performance Index Gap ","75.0 ","56.7","18.3","16.6","","0075111","201516"
NA,NA,NA,NA,NA,NA,"0075111","201516"
"ELA Performance Index Gap ","51.5","33.4","18.1 ","16.8","","0076111","201415"
"Math Performance Index Gap ","60.2","39.6","20.6 ","19.5","","0076111","201415"
"Science Performance Index Gap ","65.9","51.3","14.6 ","17.3","","0076111","201415"
"Graduation Rate Gap ","94.0%","98.3%","-4.3% ","12.6% ","N","0076111","201415"
"Achievement Gap Size Outlier? ","","","","","N","0076111","201516"
"ELA Performance Index Gap ","63.2 ","54.3 ","8.9 ","16.6","","0076111","201516"
"Math Performance Index Gap ","62.6 ","48.1 ","14.6 ","19.1","","0076111","201516"
"Science Performance Index Gap ","66.8 ","50.4 ","16.4 ","17.3","","0076111","201516"
"ELA Performance Index Gap ","75","55.2 ","19.8 ","16.8","","0080111","201415"
"Math Performance Index Gap ","75","51.7 ","23.3 ","19.5","","0080111","201415"
"Science Performance Index Gap ","59.6","N/A ",". ","17.3","","0080111","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0080111","201516"
"ELA Performance Index Gap ","75.0 ","61.1","13.9","16.6","","0080111","201516"
NA,NA,NA,NA,NA,NA,"0080111","201516"
"ELA Performance Index Gap ","75.0 ","68.8 ","6.2 ","16.8","","0090111","201415"
"Math Performance Index Gap ","67.1 ","59.7 ","7.5 ","19.5","","0090111","201415"
"Science Performance Index Gap ",". ","N/A ",". ","17.3","","0090111","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0090111","201516"
"ELA Performance Index Gap ","75.0 ","69.8","5.2","16.6","","0090111","201516"
NA,NA,NA,NA,NA,NA,"0090111","201516"
"ELA Performance Index Gap ","75.0 ","64.3 ","10.7 ","16.8","","0090411","201415"
"Math Performance Index Gap ","60.1 ","51.5 ","8.6 ","19.5","","0090411","201415"
"Science Performance Index Gap ",". ","N/A ",". ","17.3","","0090411","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0090411","201516"
"ELA Performance Index Gap ","75.0 ","61","14","16.6","","0090411","201516"
NA,NA,NA,NA,NA,NA,"0090411","201516"
"ELA Performance Index Gap ","75","69.1","5.9","16.8","","0090511","201415"
"Math Performance Index Gap ","72","60.1","11.8","19.5","","0090511","201415"
"Science Performance Index Gap ","70.1","58.5","11.6","17.3","","0090511","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0090511","201516"
"ELA Performance Index Gap ","75.0 ","66","9","16.6","","0090511","201516"
NA,NA,NA,NA,NA,NA,"0090511","201516"
"ELA Performance Index Gap ","75","63.3","11.7","16.8","","0095111","201415"
"Math Performance Index Gap ","66.1","50.2","15.9","19.5","","0095111","201415"
"Science Performance Index Gap ","68.1","53.7","14.4","17.3","","0095111","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0095111","201516"
"ELA Performance Index Gap ","75.0 ","66.4","8.6","16.6","","0095111","201516"
NA,NA,NA,NA,NA,NA,"0095111","201516"
"ELA Performance Index Gap ","71.2","49.3","21.9 ","16.8","","0096111","201415"
"Math Performance Index Gap ","60.5","39.2","21.3 ","19.5","","0096111","201415"
"Science Performance Index Gap ","66.0","54.3","11.7 ","17.3","","0096111","201415"
"Graduation Rate Gap ","94.0%","94.5%","-0.5% ","12.6% ","N","0096111","201415"
"Achievement Gap Size Outlier? ","","","","","N","0096111","201516"
"ELA Performance Index Gap ","66.2 ","52.7 ","13.4 ","16.6","","0096111","201516"
"Math Performance Index Gap ","63.9 ","49.7 ","14.1 ","19.1","","0096111","201516"
"Science Performance Index Gap ","68.8 ","57.1 ","11.7 ","17.3","","0096111","201516"
"ELA Performance Index Gap ","73.9 ","63.7 ","10.2 ","16.8","","0110511","201415"
"Math Performance Index Gap ","58.8 ","48.6 ","10.2 ","19.5","","0110511","201415"
"Science Performance Index Gap ",". ","N/A ",". ","17.3","","0110511","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0110511","201516"
"ELA Performance Index Gap ","74.7 ","64.4","10.3","16.6","","0110511","201516"
NA,NA,NA,NA,NA,NA,"0110511","201516"
"ELA Performance Index Gap ",". ","N/A ",". ",".",NA,"0110611","201415"
"Math Performance Index Gap ",". ","N/A ",". ",".",NA,"0110611","201415"
"Science Performance Index Gap ",". ","N/A ",". ",".",NA,"0110611","201415"
"Achievement Gap Size Outlier?","","","","","","0110611","201516"
"ELA Performance Index Gap ",". ","N/A ",". ",".","","0110611","201516"
NA,NA,NA,NA,NA,NA,"0110611","201516"
"ELA Performance Index Gap ","71.9","64.5","7.5","16.8","","0110711","201415"
"Math Performance Index Gap ","59.2","53.4","5.7","19.5","","0110711","201415"
"Science Performance Index Gap ","51.3","49.8","1.5","17.3","","0110711","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0110711","201516"
"ELA Performance Index Gap ","70.6 ","65","5.6","16.6","","0110711","201516"
NA,NA,NA,NA,NA,NA,"0110711","201516"
"ELA Performance Index Gap ",". ","N/A ",". ",".",NA,"0110811","201415"
"Math Performance Index Gap ",". ","N/A ",". ",".",NA,"0110811","201415"
"Science Performance Index Gap ",". ","N/A ",". ",".",NA,"0110811","201415"
"Achievement Gap Size Outlier?","","","","","","0110811","201516"
"ELA Performance Index Gap ",". ","N/A ",". ",".","","0110811","201516"
NA,NA,NA,NA,NA,NA,"0110811","201516"
"ELA Performance Index Gap ","67.1","55","12.1","16.8","","0115211","201415"
"Math Performance Index Gap ","56.3","46.2","10.1","19.5","","0115211","201415"
"Science Performance Index Gap ","54.1","50.1","4","17.3","","0115211","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0115211","201516"
"ELA Performance Index Gap ","66.2 ","56.6","9.6","16.6","","0115211","201516"
NA,NA,NA,NA,NA,NA,"0115211","201516"
"ELA Performance Index Gap ","73.9","62.8","11.0 ","16.8","","0116111","201415"
"Math Performance Index Gap ","55.7","48.4","7.3 ","19.5","","0116111","201415"
"Science Performance Index Gap ","58.2","45.8","12.4 ","17.3","","0116111","201415"
"Graduation Rate Gap ","94.0%","90.6%","3.4% ","12.6% ","N","0116111","201415"
"Achievement Gap Size Outlier? ","","","","","N","0116111","201516"
"ELA Performance Index Gap ","52.9 ","44.9 ","8.0 ","16.6","","0116111","201516"
"Math Performance Index Gap ","50.6 ","43.9 ","6.7 ","19.1","","0116111","201516"
"Science Performance Index Gap ","55.2 ","46.0 ","9.2 ","17.3","","0116111","201516"
"ELA Performance Index Gap ","65.9","57.3","8.6 ","16.8","","0116311","201415"
"Math Performance Index Gap ","56.6","43.8","12.8 ","19.5","","0116311","201415"
"Science Performance Index Gap ","54.2","50.1","4.1 ","17.3","","0116311","201415"
"Graduation Rate Gap ",".",".",". ",".","","0116311","201415"
"Achievement Gap Size Outlier? ","","","","","N","0116311","201516"
"ELA Performance Index Gap ","66.1 ","59.4 ","6.8 ","16.6","","0116311","201516"
"Math Performance Index Gap ","53.9 ","42.3 ","11.6 ","19.1","","0116311","201516"
"Science Performance Index Gap ","60.8 ","48.9 ","11.9 ","17.3","","0116311","201516"
"ELA Performance Index Gap ",".","N/A",". ",".",NA,"0116411","201415"
"Math Performance Index Gap ",".","N/A",". ",".",NA,"0116411","201415"
"Science Performance Index Gap ",".","N/A",". ",".",NA,"0116411","201415"
"Graduation Rate Gap ",".",".",". ",".",NA,"0116411","201415"
"Achievement Gap Size Outlier?","","","","","","0116411","201516"
"ELA Performance Index Gap ",". ","N/A ",". ",".","","0116411","201516"
"Math Performance Index Gap ",". ","N/A ",". ",".","","0116411","201516"
"Science Performance Index Gap ",". ","N/A ",". ",".","","0116411","201516"
"ELA Performance Index Gap ","75","63.1","11.9","16.8","","0120111","201415"
"Math Performance Index Gap ","75","54.3","20.7","19.5","","0120111","201415"
"Science Performance Index Gap ","63.4","51.7","11.7","17.3","","0120111","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0120111","201516"
"ELA Performance Index Gap ","75.0 ","65.9","9.1","16.6","","0120111","201516"
NA,NA,NA,NA,NA,NA,"0120111","201516"
"ELA Performance Index Gap ","75.0","N/A",". ","16.8","","0126111","201415"
"Math Performance Index Gap ","67.6","N/A",". ","19.5","","0126111","201415"
"Science Performance Index Gap ","69.8","N/A",". ","17.3","","0126111","201415"
"Graduation Rate Gap ",".",".",". ","12.6% ","N","0126111","201415"
"Achievement Gap Size Outlier? ","","","","","N","0126111","201516"
"ELA Performance Index Gap ","69.3 ","N/A ",". ","16.6","","0126111","201516"
"Math Performance Index Gap ","62.8 ","N/A ",". ","19.1","","0126111","201516"
"Science Performance Index Gap ","66.7 ","N/A ",". ","17.3","","0126111","201516"
"ELA Performance Index Gap ","73.4","54.1 ","19.3 ","16.8","","0130111","201415"
"Math Performance Index Gap ","64.3","45.7 ","18.6 ","19.5","","0130111","201415"
"Science Performance Index Gap ","71.1","N/A ",". ","17.3","","0130111","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","Y","0130111","201516"
"ELA Performance Index Gap ","70.5 ","53.5","17","16.6","","0130111","201516"
NA,NA,NA,NA,NA,NA,"0130111","201516"
"ELA Performance Index Gap ","75.0 ","68.4 ","6.6 ","16.8","","0141411","201415"
"Math Performance Index Gap ","74.2 ","63.7 ","10.5 ","19.5","","0141411","201415"
"Science Performance Index Gap ",". ","N/A ",". ","17.3","","0141411","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0141411","201516"
"ELA Performance Index Gap ","74.8 ","68.8","6","16.6","","0141411","201516"
NA,NA,NA,NA,NA,NA,"0141411","201516"
"ELA Performance Index Gap ","75.0 ","65.2 ","9.8 ","16.8","","0141511","201415"
"Math Performance Index Gap ","74.7 ","57.6 ","17.2 ","19.5","","0141511","201415"
"Science Performance Index Gap ",". ","N/A ",". ","17.3","","0141511","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0141511","201516"
"ELA Performance Index Gap ","75.0 ","61.6","13.4","16.6","","0141511","201516"
NA,NA,NA,NA,NA,NA,"0141511","201516"
"ELA Performance Index Gap ","75.0 ","70.5 ","4.5 ","16.8","","0141611","201415"
"Math Performance Index Gap ","74.0 ","65.5 ","8.5 ","19.5","","0141611","201415"
"Science Performance Index Gap ",". ","N/A ",". ","17.3","","0141611","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0141611","201516"
"ELA Performance Index Gap ","75.0 ","68.7","6.3","16.6","","0141611","201516"
NA,NA,NA,NA,NA,NA,"0141611","201516"
"ELA Performance Index Gap ","75","60.8","14.2","16.8","","0145111","201415"
"Math Performance Index Gap ","68.9","52.5","16.4","19.5","","0145111","201415"
"Science Performance Index Gap ","60.8","52.5","8.3","17.3","","0145111","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0145111","201516"
"ELA Performance Index Gap ","75.0 ","61.6","13.4","16.6","","0145111","201516"
NA,NA,NA,NA,NA,NA,"0145111","201516"
"ELA Performance Index Gap ","57.7","44.5","13.2 ","16.8","","0146111","201415"
"Math Performance Index Gap ","46.4","33.3","13.1 ","19.5","","0146111","201415"
"Science Performance Index Gap ","66.7","50.7","16.0 ","17.3","","0146111","201415"
"Graduation Rate Gap ","94.0%","96.3%","-2.3% ","12.6% ","N","0146111","201415"
"Achievement Gap Size Outlier? ","","","","","N","0146111","201516"
"ELA Performance Index Gap ","64.9 ","49.1 ","15.8 ","16.6","","0146111","201516"
"Math Performance Index Gap ","60.7 ","46.0 ","14.7 ","19.1","","0146111","201516"
"Science Performance Index Gap ","66.9 ","53.6 ","13.3 ","17.3","","0146111","201516"
"ELA Performance Index Gap ",". ","50",". ","16.8","","0150111","201415"
"Math Performance Index Gap ",". ","40.7",". ","19.5","","0150111","201415"
"Science Performance Index Gap ",". ","39.1",". ","17.3","","0150111","201415"
"Achievement Gap Size Outlier? ","",NA,"","","N","0150111","201516"
"ELA Performance Index Gap ",". ","48.7",". ","16.6","","0150111","201516"
NA,NA,NA,NA,NA,NA,"0150111","201516"
"ELA Performance Index Gap ",". ","56.5",". ","16.8","","0150211","201415"
"Math Performance Index Gap ",". ","44.4",". ","19.5","","0150211","201415"
"Science Performance Index Gap ",". ","39",". ","17.3","","0150211","201415"
"Achievement Gap Size Outlier? ","",NA,"","","N","0150211","201516"
"ELA Performance Index Gap ",". ","54.8",". ","16.6","","0150211","201516"
NA,NA,NA,NA,NA,NA,"0150211","201516"
"ELA Performance Index Gap ",". ","61.1",". ","16.8","","0150311","201415"
"Math Performance Index Gap ",". ","46.7",". ","19.5","","0150311","201415"
"Science Performance Index Gap ",". ","41.1",". ","17.3","","0150311","201415"
"Achievement Gap Size Outlier? ","",NA,"","","N","0150311","201516"
"ELA Performance Index Gap ",". ","60.2",". ","16.6","","0150311","201516"
NA,NA,NA,NA,NA,NA,"0150311","201516"
"ELA Performance Index Gap ",". ","49.3",". ","16.8","","0150411","201415"
"Math Performance Index Gap ",". ","40.1",". ","19.5","","0150411","201415"
"Science Performance Index Gap ",". ","32.2",". ","17.3","","0150411","201415"
"Achievement Gap Size Outlier? ","",NA,"","","N","0150411","201516"
"ELA Performance Index Gap ",". ","52.9",". ","16.6","","0150411","201516"
NA,NA,NA,NA,NA,NA,"0150411","201516"
"ELA Performance Index Gap ",". ","47.2",". ","16.8","","0150511","201415"
"Math Performance Index Gap ",". ","35.8",". ","19.5","","0150511","201415"
"Science Performance Index Gap ",". ","33.5",". ","17.3","","0150511","201415"
"Achievement Gap Size Outlier? ","",NA,"","","N","0150511","201516"
"ELA Performance Index Gap ",". ","49.8",". ","16.6","","0150511","201516"
NA,NA,NA,NA,NA,NA,"0150511","201516"
"ELA Performance Index Gap ",".","35.7",". ","16.8","","0150611","201415"
"Math Performance Index Gap ",".","N/A",". ","19.5","","0150611","201415"
"Science Performance Index Gap ",".","47.3",". ","17.3","","0150611","201415"
"Graduation Rate Gap ",".",".",". ",".","","0150611","201415"
"Achievement Gap Size Outlier? ","","","","","N","0150611","201516"
"ELA Performance Index Gap ",". ","47.6 ",". ","16.6","","0150611","201516"
"Math Performance Index Gap ",". ","44.0 ",". ","19.1","","0150611","201516"
"Science Performance Index Gap ",". ","45.4 ",". ","17.3","","0150611","201516"
"ELA Performance Index Gap ",". ","54.7",". ","16.8","","0150711","201415"
"Math Performance Index Gap ",". ","41.2",". ","19.5","","0150711","201415"
"Science Performance Index Gap ",". ","35.4",". ","17.3","","0150711","201415"
"Achievement Gap Size Outlier? ","",NA,"","","N","0150711","201516"
"ELA Performance Index Gap ",". ","54.8",". ","16.6","","0150711","201516"
NA,NA,NA,NA,NA,NA,"0150711","201516"
"ELA Performance Index Gap ",".","44.0",". ","16.8","","0150811","201415"
"Math Performance Index Gap ",".","42.6",". ","19.5","","0150811","201415"
"Science Performance Index Gap ",".","51.1",". ","17.3","","0150811","201415"
"Graduation Rate Gap ",".",".",". ",".","","0150811","201415"
"Achievement Gap Size Outlier? ","","","","","N","0150811","201516"
"ELA Performance Index Gap ",". ","51.0 ",". ","16.6","","0150811","201516"
"Math Performance Index Gap ",". ","51.9 ",". ","19.1","","0150811","201516"
"Science Performance Index Gap ",". ","59.8 ",". ","17.3","","0150811","201516"
"ELA Performance Index Gap ",". ","39.1",". ","16.8","","0151011","201415"
"Math Performance Index Gap ",". ","30.1",". ","19.5","","0151011","201415"
"Science Performance Index Gap ",". ","32.1",". ","17.3","","0151011","201415"
"Achievement Gap Size Outlier? ","",NA,"","","N","0151011","201516"
"ELA Performance Index Gap ",". ","38.5",". ","16.6","","0151011","201516"
NA,NA,NA,NA,NA,NA,"0151011","201516"
"ELA Performance Index Gap ",". ","54.4",". ","16.8","","0151111","201415"
"Math Performance Index Gap ",". ","46.7",". ","19.5","","0151111","201415"
"Science Performance Index Gap ",". ","39.7",". ","17.3","","0151111","201415"
"Achievement Gap Size Outlier? ","",NA,"","","N","0151111","201516"
"ELA Performance Index Gap ",". ","53.8",". ","16.6","","0151111","201516"
NA,NA,NA,NA,NA,NA,"0151111","201516"
"ELA Performance Index Gap ",". ","55.6",". ","16.8","","0151211","201415"
"Math Performance Index Gap ",". ","46.1",". ","19.5","","0151211","201415"
"Science Performance Index Gap ",". ","43.5",". ","17.3","","0151211","201415"
"Achievement Gap Size Outlier? ","",NA,"","","N","0151211","201516"
"ELA Performance Index Gap ",". ","54.1",". ","16.6","","0151211","201516"
NA,NA,NA,NA,NA,NA,"0151211","201516"
"ELA Performance Index Gap ",". ","56.8",". ","16.8","","0151311","201415"
"Math Performance Index Gap ",". ","42.1",". ","19.5","","0151311","201415"
"Science Performance Index Gap ",". ","48.5",". ","17.3","","0151311","201415"
"Achievement Gap Size Outlier? ","",NA,"","","N","0151311","201516"
"ELA Performance Index Gap ",". ","55.5",". ","16.6","","0151311","201516"
NA,NA,NA,NA,NA,NA,"0151311","201516"
"ELA Performance Index Gap ",". ","46",". ","16.8","","0151411","201415"
"Math Performance Index Gap ",". ","36.2",". ","19.5","","0151411","201415"
"Science Performance Index Gap ",". ","36.1",". ","17.3","","0151411","201415"
"Achievement Gap Size Outlier? ","",NA,"","","N","0151411","201516"
"ELA Performance Index Gap ",". ","43.2",". ","16.6","","0151411","201516"
NA,NA,NA,NA,NA,NA,"0151411","201516"
"ELA Performance Index Gap ",".","42.8",". ","16.8","","0151511","201415"
"Math Performance Index Gap ",".","38.6",". ","19.5","","0151511","201415"
"Science Performance Index Gap ",".","44.5",". ","17.3","","0151511","201415"
"Graduation Rate Gap ",".",".",". ",".","","0151511","201415"
"Achievement Gap Size Outlier? ","","","","","N","0151511","201516"
"ELA Performance Index Gap ",". ","50.4 ",". ","16.6","","0151511","201516"
"Math Performance Index Gap ",". ","46.6 ",". ","19.1","","0151511","201516"
"Science Performance Index Gap ",". ","51.5 ",". ","17.3","","0151511","201516"
"ELA Performance Index Gap ",".","N/A",". ","16.8","","0151611","201415"
"Math Performance Index Gap ",".","N/A",". ","19.5","","0151611","201415"
"Science Performance Index Gap ",".","35.8",". ","17.3","","0151611","201415"
"Graduation Rate Gap ",".",".",". ",".","","0151611","201415"
"Achievement Gap Size Outlier? ","","","","","N","0151611","201516"
"ELA Performance Index Gap ",". ","41.7 ",". ","16.6","","0151611","201516"
"Math Performance Index Gap ",". ","34.0 ",". ","19.1","","0151611","201516"
"Science Performance Index Gap ",". ","34.5 ",". ","17.3","","0151611","201516"
"ELA Performance Index Gap ",". ","65.8",". ","16.8","","0151711","201415"
"Math Performance Index Gap ",". ","55",". ","19.5","","0151711","201415"
"Science Performance Index Gap ",". ","53.7",". ","17.3","","0151711","201415"
"Achievement Gap Size Outlier? ","",NA,"","","N","0151711","201516"
"ELA Performance Index Gap ",". ","65.7",". ","16.6","","0151711","201516"
NA,NA,NA,NA,NA,NA,"0151711","201516"
"ELA Performance Index Gap ",". ","60.4",". ","16.8","","0152011","201415"
"Math Performance Index Gap ",". ","50",". ","19.5","","0152011","201415"
"Science Performance Index Gap ",". ","40.6",". ","17.3","","0152011","201415"
"Achievement Gap Size Outlier? ","",NA,"","","N","0152011","201516"
"ELA Performance Index Gap ",". ","60.4",". ","16.6","","0152011","201516"
NA,NA,NA,NA,NA,NA,"0152011","201516"
"ELA Performance Index Gap ",". ","65.8",". ","16.8","","0152111","201415"
"Math Performance Index Gap ",". ","51.7",". ","19.5","","0152111","201415"
"Science Performance Index Gap ",". ","41.6",". ","17.3","","0152111","201415"
