"category","percent","school_id","year"
"State Low Poverty Quartile Schools ","99.5","0080111","201314"
"School ","100","0080111","201415"
"State High Poverty Quartile Schools ","97.9","0080111","201415"
"State Low Poverty Quartile Schools ","99.6","0080111","201415"
"School ","100","0080111","201516"
"State High Poverty Quartile Schools ","97.6","0080111","201516"
"State Low Poverty Quartile Schools ","99.6","0080111","201516"
"School ","100","0090111","201314"
"State High Poverty Quartile Schools ","97.8","0090111","201314"
"State Low Poverty Quartile Schools ","99.5","0090111","201314"
"School ","100","0090111","201415"
"State High Poverty Quartile Schools ","97.9","0090111","201415"
"State Low Poverty Quartile Schools ","99.6","0090111","201415"
"School ","100","0090111","201516"
"State High Poverty Quartile Schools ","97.6","0090111","201516"
"State Low Poverty Quartile Schools ","99.6","0090111","201516"
"School ","100","0090411","201314"
"State High Poverty Quartile Schools ","97.8","0090411","201314"
"State Low Poverty Quartile Schools ","99.5","0090411","201314"
"School ","100","0090411","201415"
"State High Poverty Quartile Schools ","97.9","0090411","201415"
"State Low Poverty Quartile Schools ","99.6","0090411","201415"
"School ","100","0090411","201516"
"State High Poverty Quartile Schools ","97.6","0090411","201516"
"State Low Poverty Quartile Schools ","99.6","0090411","201516"
"School ","100","0090511","201314"
"State High Poverty Quartile Schools ","97.8","0090511","201314"
"State Low Poverty Quartile Schools ","99.5","0090511","201314"
"School ","100","0090511","201415"
"State High Poverty Quartile Schools ","97.9","0090511","201415"
"State Low Poverty Quartile Schools ","99.6","0090511","201415"
"School ","100","0090511","201516"
"State High Poverty Quartile Schools ","97.6","0090511","201516"
"State Low Poverty Quartile Schools ","99.6","0090511","201516"
"School ","100","0095111","201314"
"State High Poverty Quartile Schools ","97.8","0095111","201314"
"State Low Poverty Quartile Schools ","99.5","0095111","201314"
"School ","97.8","0095111","201415"
"State High Poverty Quartile Schools ","97.9","0095111","201415"
"State Low Poverty Quartile Schools ","99.6","0095111","201415"
"School ","97.9","0095111","201516"
"State High Poverty Quartile Schools ","97.6","0095111","201516"
"State Low Poverty Quartile Schools ","99.6","0095111","201516"
"School ","100","0096111","201314"
"State High Poverty Quartile Schools ","97.8","0096111","201314"
"State Low Poverty Quartile Schools ","99.5","0096111","201314"
"School ","100","0096111","201415"
"State High Poverty Quartile Schools ","97.9","0096111","201415"
"State Low Poverty Quartile Schools ","99.6","0096111","201415"
"School ","96.7","0096111","201516"
"State High Poverty Quartile Schools ","97.6","0096111","201516"
"State Low Poverty Quartile Schools ","99.6","0096111","201516"
"School ","100","0110511","201314"
"State High Poverty Quartile Schools ","97.8","0110511","201314"
"State Low Poverty Quartile Schools ","99.5","0110511","201314"
"School ","100","0110511","201415"
"State High Poverty Quartile Schools ","97.9","0110511","201415"
"State Low Poverty Quartile Schools ","99.6","0110511","201415"
"School ","100","0110511","201516"
"State High Poverty Quartile Schools ","97.6","0110511","201516"
"State Low Poverty Quartile Schools ","99.6","0110511","201516"
"School ","100","0110611","201314"
"State High Poverty Quartile Schools ","97.8","0110611","201314"
"State Low Poverty Quartile Schools ","99.5","0110611","201314"
"School ","100","0110611","201415"
"State High Poverty Quartile Schools ","97.9","0110611","201415"
"State Low Poverty Quartile Schools ","99.6","0110611","201415"
"School ","100","0110611","201516"
"State High Poverty Quartile Schools ","97.6","0110611","201516"
"State Low Poverty Quartile Schools ","99.6","0110611","201516"
"School ","100","0110711","201314"
"State High Poverty Quartile Schools ","97.8","0110711","201314"
"State Low Poverty Quartile Schools ","99.5","0110711","201314"
"School ","100","0110711","201415"
"State High Poverty Quartile Schools ","97.9","0110711","201415"
"State Low Poverty Quartile Schools ","99.6","0110711","201415"
"School ","100","0110711","201516"
"State High Poverty Quartile Schools ","97.6","0110711","201516"
"State Low Poverty Quartile Schools ","99.6","0110711","201516"
"School ","94.3","0110811","201314"
"State High Poverty Quartile Schools ","97.8","0110811","201314"
"State Low Poverty Quartile Schools ","99.5","0110811","201314"
"School ","100","0110811","201415"
"State High Poverty Quartile Schools ","97.9","0110811","201415"
"State Low Poverty Quartile Schools ","99.6","0110811","201415"
"School ","92.3","0110811","201516"
"State High Poverty Quartile Schools ","97.6","0110811","201516"
"State Low Poverty Quartile Schools ","99.6","0110811","201516"
"School ","96.1","0115211","201314"
"State High Poverty Quartile Schools ","97.8","0115211","201314"
"State Low Poverty Quartile Schools ","99.5","0115211","201314"
"School ","95.6","0115211","201415"
"State High Poverty Quartile Schools ","97.9","0115211","201415"
"State Low Poverty Quartile Schools ","99.6","0115211","201415"
"School ","94.9","0115211","201516"
"State High Poverty Quartile Schools ","97.6","0115211","201516"
"State Low Poverty Quartile Schools ","99.6","0115211","201516"
"School ","100","0116111","201314"
"State High Poverty Quartile Schools ","97.8","0116111","201314"
"State Low Poverty Quartile Schools ","99.5","0116111","201314"
"School ","100","0116111","201415"
"State High Poverty Quartile Schools ","97.9","0116111","201415"
"State Low Poverty Quartile Schools ","99.6","0116111","201415"
"School ","100","0116111","201516"
"State High Poverty Quartile Schools ","97.6","0116111","201516"
"State Low Poverty Quartile Schools ","99.6","0116111","201516"
"School ","86.9","0116311","201314"
"State High Poverty Quartile Schools ","97.8","0116311","201314"
"State Low Poverty Quartile Schools ","99.5","0116311","201314"
"School ","100","0116311","201415"
"State High Poverty Quartile Schools ","97.9","0116311","201415"
"State Low Poverty Quartile Schools ","99.6","0116311","201415"
"School ","100","0116311","201516"
"State High Poverty Quartile Schools ","97.6","0116311","201516"
"State Low Poverty Quartile Schools ","99.6","0116311","201516"
"School ","100","0116411","201314"
"State High Poverty Quartile Schools ","97.8","0116411","201314"
"State Low Poverty Quartile Schools ","99.5","0116411","201314"
"School ","N/A","0116411","201415"
"State High Poverty Quartile Schools ","N/A","0116411","201415"
"State Low Poverty Quartile Schools ","N/A","0116411","201415"
"School ","N/A","0116411","201516"
"State High Poverty Quartile Schools ","N/A","0116411","201516"
"State Low Poverty Quartile Schools ","N/A","0116411","201516"
"School ","100","0120111","201314"
"State High Poverty Quartile Schools ","97.8","0120111","201314"
"State Low Poverty Quartile Schools ","99.5","0120111","201314"
"School ","100","0120111","201415"
"State High Poverty Quartile Schools ","97.9","0120111","201415"
"State Low Poverty Quartile Schools ","99.6","0120111","201415"
"School ","100","0120111","201516"
"State High Poverty Quartile Schools ","97.6","0120111","201516"
"State Low Poverty Quartile Schools ","99.6","0120111","201516"
"School ","100","0126111","201314"
"State High Poverty Quartile Schools ","97.8","0126111","201314"
"State Low Poverty Quartile Schools ","99.5","0126111","201314"
"School ","100","0126111","201415"
"State High Poverty Quartile Schools ","97.9","0126111","201415"
"State Low Poverty Quartile Schools ","99.6","0126111","201415"
"School ","100","0126111","201516"
"State High Poverty Quartile Schools ","97.6","0126111","201516"
"State Low Poverty Quartile Schools ","99.6","0126111","201516"
"School ","100","0130111","201314"
"State High Poverty Quartile Schools ","97.8","0130111","201314"
"State Low Poverty Quartile Schools ","99.5","0130111","201314"
"School ","100","0130111","201415"
"State High Poverty Quartile Schools ","97.9","0130111","201415"
"State Low Poverty Quartile Schools ","99.6","0130111","201415"
"School ","100","0130111","201516"
"State High Poverty Quartile Schools ","97.6","0130111","201516"
"State Low Poverty Quartile Schools ","99.6","0130111","201516"
"School ","100","0141411","201314"
"State High Poverty Quartile Schools ","97.8","0141411","201314"
"State Low Poverty Quartile Schools ","99.5","0141411","201314"
"School ","100","0141411","201415"
"State High Poverty Quartile Schools ","97.9","0141411","201415"
"State Low Poverty Quartile Schools ","99.6","0141411","201415"
"School ","100","0141411","201516"
"State High Poverty Quartile Schools ","97.6","0141411","201516"
"State Low Poverty Quartile Schools ","99.6","0141411","201516"
"School ","98.2","0141511","201314"
"State High Poverty Quartile Schools ","97.8","0141511","201314"
"State Low Poverty Quartile Schools ","99.5","0141511","201314"
"School ","100","0141511","201415"
"State High Poverty Quartile Schools ","97.9","0141511","201415"
"State Low Poverty Quartile Schools ","99.6","0141511","201415"
"School ","100","0141511","201516"
"State High Poverty Quartile Schools ","97.6","0141511","201516"
"State Low Poverty Quartile Schools ","99.6","0141511","201516"
"School ","100","0141611","201314"
"State High Poverty Quartile Schools ","97.8","0141611","201314"
"State Low Poverty Quartile Schools ","99.5","0141611","201314"
"School ","100","0141611","201415"
"State High Poverty Quartile Schools ","97.9","0141611","201415"
"State Low Poverty Quartile Schools ","99.6","0141611","201415"
"School ","100","0141611","201516"
"State High Poverty Quartile Schools ","97.6","0141611","201516"
"State Low Poverty Quartile Schools ","99.6","0141611","201516"
"School ","100","0145111","201314"
"State High Poverty Quartile Schools ","97.8","0145111","201314"
"State Low Poverty Quartile Schools ","99.5","0145111","201314"
"School ","100","0145111","201415"
"State High Poverty Quartile Schools ","97.9","0145111","201415"
"State Low Poverty Quartile Schools ","99.6","0145111","201415"
"School ","100","0145111","201516"
"State High Poverty Quartile Schools ","97.6","0145111","201516"
"State Low Poverty Quartile Schools ","99.6","0145111","201516"
"School ","100","0146111","201314"
"State High Poverty Quartile Schools ","97.8","0146111","201314"
"State Low Poverty Quartile Schools ","99.5","0146111","201314"
"School ","100","0146111","201415"
"State High Poverty Quartile Schools ","97.9","0146111","201415"
"State Low Poverty Quartile Schools ","99.6","0146111","201415"
"School ","98.6","0146111","201516"
"State High Poverty Quartile Schools ","97.6","0146111","201516"
"State Low Poverty Quartile Schools ","99.6","0146111","201516"
"School ","100","0150111","201314"
"State High Poverty Quartile Schools ","97.8","0150111","201314"
"State Low Poverty Quartile Schools ","99.5","0150111","201314"
"School ","100","0150111","201415"
"State High Poverty Quartile Schools ","97.9","0150111","201415"
"State Low Poverty Quartile Schools ","99.6","0150111","201415"
"School ","94.6","0150111","201516"
"State High Poverty Quartile Schools ","97.6","0150111","201516"
"State Low Poverty Quartile Schools ","99.6","0150111","201516"
"School ","100","0150211","201314"
"State High Poverty Quartile Schools ","97.8","0150211","201314"
"State Low Poverty Quartile Schools ","99.5","0150211","201314"
"School ","100","0150211","201415"
"State High Poverty Quartile Schools ","97.9","0150211","201415"
"State Low Poverty Quartile Schools ","99.6","0150211","201415"
"School ","100","0150211","201516"
"State High Poverty Quartile Schools ","97.6","0150211","201516"
"State Low Poverty Quartile Schools ","99.6","0150211","201516"
"School ","100","0150311","201314"
"State High Poverty Quartile Schools ","97.8","0150311","201314"
"State Low Poverty Quartile Schools ","99.5","0150311","201314"
"School ","100","0150311","201415"
"State High Poverty Quartile Schools ","97.9","0150311","201415"
"State Low Poverty Quartile Schools ","99.6","0150311","201415"
"School ","98.7","0150311","201516"
"State High Poverty Quartile Schools ","97.6","0150311","201516"
"State Low Poverty Quartile Schools ","99.6","0150311","201516"
"School ","100","0150411","201314"
"State High Poverty Quartile Schools ","97.8","0150411","201314"
"State Low Poverty Quartile Schools ","99.5","0150411","201314"
"School ","100","0150411","201415"
"State High Poverty Quartile Schools ","97.9","0150411","201415"
"State Low Poverty Quartile Schools ","99.6","0150411","201415"
"School ","100","0150411","201516"
"State High Poverty Quartile Schools ","97.6","0150411","201516"
"State Low Poverty Quartile Schools ","99.6","0150411","201516"
"School ","100","0150511","201314"
"State High Poverty Quartile Schools ","97.8","0150511","201314"
"State Low Poverty Quartile Schools ","99.5","0150511","201314"
"School ","99.1","0150511","201415"
"State High Poverty Quartile Schools ","97.9","0150511","201415"
"State Low Poverty Quartile Schools ","99.6","0150511","201415"
"School ","100","0150511","201516"
"State High Poverty Quartile Schools ","97.6","0150511","201516"
"State Low Poverty Quartile Schools ","99.6","0150511","201516"
"School ","100","0150611","201314"
"State High Poverty Quartile Schools ","97.8","0150611","201314"
"State Low Poverty Quartile Schools ","99.5","0150611","201314"
"School ","95.6","0150611","201415"
"State High Poverty Quartile Schools ","97.9","0150611","201415"
"State Low Poverty Quartile Schools ","99.6","0150611","201415"
"School ","100","0150611","201516"
"State High Poverty Quartile Schools ","97.6","0150611","201516"
"State Low Poverty Quartile Schools ","99.6","0150611","201516"
"School ","100","0150711","201314"
"State High Poverty Quartile Schools ","97.8","0150711","201314"
"State Low Poverty Quartile Schools ","99.5","0150711","201314"
"School ","100","0150711","201415"
"State High Poverty Quartile Schools ","97.9","0150711","201415"
"State Low Poverty Quartile Schools ","99.6","0150711","201415"
"School ","100","0150711","201516"
"State High Poverty Quartile Schools ","97.6","0150711","201516"
"State Low Poverty Quartile Schools ","99.6","0150711","201516"
"School ","100","0150811","201314"
"State High Poverty Quartile Schools ","97.8","0150811","201314"
"State Low Poverty Quartile Schools ","99.5","0150811","201314"
"School ","100","0150811","201415"
"State High Poverty Quartile Schools ","97.9","0150811","201415"
"State Low Poverty Quartile Schools ","99.6","0150811","201415"
"School ","93.1","0150811","201516"
"State High Poverty Quartile Schools ","97.6","0150811","201516"
"State Low Poverty Quartile Schools ","99.6","0150811","201516"
"School ","100","0151011","201314"
"State High Poverty Quartile Schools ","97.8","0151011","201314"
"State Low Poverty Quartile Schools ","99.5","0151011","201314"
"School ","95.9","0151011","201415"
"State High Poverty Quartile Schools ","97.9","0151011","201415"
"State Low Poverty Quartile Schools ","99.6","0151011","201415"
"School ","93.5","0151011","201516"
"State High Poverty Quartile Schools ","97.6","0151011","201516"
"State Low Poverty Quartile Schools ","99.6","0151011","201516"
"School ","100","0151111","201314"
"State High Poverty Quartile Schools ","97.8","0151111","201314"
"State Low Poverty Quartile Schools ","99.5","0151111","201314"
"School ","100","0151111","201415"
"State High Poverty Quartile Schools ","97.9","0151111","201415"
"State Low Poverty Quartile Schools ","99.6","0151111","201415"
"School ","100","0151111","201516"
"State High Poverty Quartile Schools ","97.6","0151111","201516"
"State Low Poverty Quartile Schools ","99.6","0151111","201516"
"School ","100","0151211","201314"
"State High Poverty Quartile Schools ","97.8","0151211","201314"
"State Low Poverty Quartile Schools ","99.5","0151211","201314"
"School ","100","0151211","201415"
"State High Poverty Quartile Schools ","97.9","0151211","201415"
"State Low Poverty Quartile Schools ","99.6","0151211","201415"
"School ","100","0151211","201516"
"State High Poverty Quartile Schools ","97.6","0151211","201516"
"State Low Poverty Quartile Schools ","99.6","0151211","201516"
"School ","100","0151311","201314"
"State High Poverty Quartile Schools ","97.8","0151311","201314"
"State Low Poverty Quartile Schools ","99.5","0151311","201314"
"School ","100","0151311","201415"
"State High Poverty Quartile Schools ","97.9","0151311","201415"
"State Low Poverty Quartile Schools ","99.6","0151311","201415"
"School ","92.3","0151311","201516"
"State High Poverty Quartile Schools ","97.6","0151311","201516"
"State Low Poverty Quartile Schools ","99.6","0151311","201516"
"School ","100","0151411","201314"
"State High Poverty Quartile Schools ","97.8","0151411","201314"
"State Low Poverty Quartile Schools ","99.5","0151411","201314"
"School ","98.7","0151411","201415"
"State High Poverty Quartile Schools ","97.9","0151411","201415"
"State Low Poverty Quartile Schools ","99.6","0151411","201415"
"School ","96","0151411","201516"
"State High Poverty Quartile Schools ","97.6","0151411","201516"
"State Low Poverty Quartile Schools ","99.6","0151411","201516"
"School ","100","0151511","201314"
"State High Poverty Quartile Schools ","97.8","0151511","201314"
"State Low Poverty Quartile Schools ","99.5","0151511","201314"
"School ","100","0151511","201415"
"State High Poverty Quartile Schools ","97.9","0151511","201415"
"State Low Poverty Quartile Schools ","99.6","0151511","201415"
"School ","100","0151511","201516"
"State High Poverty Quartile Schools ","97.6","0151511","201516"
"State Low Poverty Quartile Schools ","99.6","0151511","201516"
"School ","100","0151611","201314"
"State High Poverty Quartile Schools ","97.8","0151611","201314"
"State Low Poverty Quartile Schools ","99.5","0151611","201314"
"School ","100","0151611","201415"
"State High Poverty Quartile Schools ","97.9","0151611","201415"
"State Low Poverty Quartile Schools ","99.6","0151611","201415"
"School ","100","0151611","201516"
"State High Poverty Quartile Schools ","97.6","0151611","201516"
"State Low Poverty Quartile Schools ","99.6","0151611","201516"
"School ","100","0151711","201314"
"State High Poverty Quartile Schools ","97.8","0151711","201314"
"State Low Poverty Quartile Schools ","99.5","0151711","201314"
"School ","100","0151711","201415"
"State High Poverty Quartile Schools ","97.9","0151711","201415"
"State Low Poverty Quartile Schools ","99.6","0151711","201415"
"School ","100","0151711","201516"
"State High Poverty Quartile Schools ","97.6","0151711","201516"
"State Low Poverty Quartile Schools ","99.6","0151711","201516"
"School ","100","0152011","201314"
"State High Poverty Quartile Schools ","97.8","0152011","201314"
"State Low Poverty Quartile Schools ","99.5","0152011","201314"
"School ","100","0152011","201415"
"State High Poverty Quartile Schools ","97.9","0152011","201415"
"State Low Poverty Quartile Schools ","99.6","0152011","201415"
"School ","100","0152011","201516"
"State High Poverty Quartile Schools ","97.6","0152011","201516"
"State Low Poverty Quartile Schools ","99.6","0152011","201516"
"School ","100","0152111","201314"
"State High Poverty Quartile Schools ","97.8","0152111","201314"
"State Low Poverty Quartile Schools ","99.5","0152111","201314"
"School ","100","0152111","201415"
"State High Poverty Quartile Schools ","97.9","0152111","201415"
"State Low Poverty Quartile Schools ","99.6","0152111","201415"
"School ","100","0152111","201516"
"State High Poverty Quartile Schools ","97.6","0152111","201516"
"State Low Poverty Quartile Schools ","99.6","0152111","201516"
"School ","100","0152211","201314"
"State High Poverty Quartile Schools ","97.8","0152211","201314"
"State Low Poverty Quartile Schools ","99.5","0152211","201314"
"School ","100","0152211","201415"
"State High Poverty Quartile Schools ","97.9","0152211","201415"
"State Low Poverty Quartile Schools ","99.6","0152211","201415"
"School ","100","0152211","201516"
"State High Poverty Quartile Schools ","97.6","0152211","201516"
"State Low Poverty Quartile Schools ","99.6","0152211","201516"
"School ","100","0152511","201314"
"State High Poverty Quartile Schools ","97.8","0152511","201314"
"State Low Poverty Quartile Schools ","99.5","0152511","201314"
"School ","100","0152511","201415"
"State High Poverty Quartile Schools ","97.9","0152511","201415"
"State Low Poverty Quartile Schools ","99.6","0152511","201415"
"School ","100","0152511","201516"
"State High Poverty Quartile Schools ","97.6","0152511","201516"
"State Low Poverty Quartile Schools ","99.6","0152511","201516"
"School ","100","0152611","201314"
"State High Poverty Quartile Schools ","97.8","0152611","201314"
"State Low Poverty Quartile Schools ","99.5","0152611","201314"
"School ","98.7","0152611","201415"
"State High Poverty Quartile Schools ","97.9","0152611","201415"
"State Low Poverty Quartile Schools ","99.6","0152611","201415"
"School ","100","0152611","201516"
"State High Poverty Quartile Schools ","97.6","0152611","201516"
"State Low Poverty Quartile Schools ","99.6","0152611","201516"
"School ","98.8","0153011","201314"
"State High Poverty Quartile Schools ","97.8","0153011","201314"
"State Low Poverty Quartile Schools ","99.5","0153011","201314"
"School ","100","0153011","201415"
"State High Poverty Quartile Schools ","97.9","0153011","201415"
"State Low Poverty Quartile Schools ","99.6","0153011","201415"
"School ","100","0153011","201516"
"State High Poverty Quartile Schools ","97.6","0153011","201516"
"State Low Poverty Quartile Schools ","99.6","0153011","201516"
"School ","100","0153211","201314"
"State High Poverty Quartile Schools ","97.8","0153211","201314"
"State Low Poverty Quartile Schools ","99.5","0153211","201314"
"School ","96.3","0153211","201415"
"State High Poverty Quartile Schools ","97.9","0153211","201415"
"State Low Poverty Quartile Schools ","99.6","0153211","201415"
"School ","100","0153211","201516"
"State High Poverty Quartile Schools ","97.6","0153211","201516"
"State Low Poverty Quartile Schools ","99.6","0153211","201516"
"School ","100","0153611","201314"
"State High Poverty Quartile Schools ","97.8","0153611","201314"
"State Low Poverty Quartile Schools ","99.5","0153611","201314"
"School ","100","0153611","201415"
"State High Poverty Quartile Schools ","97.9","0153611","201415"
"State Low Poverty Quartile Schools ","99.6","0153611","201415"
"School ","100","0153611","201516"
"State High Poverty Quartile Schools ","97.6","0153611","201516"
"State Low Poverty Quartile Schools ","99.6","0153611","201516"
"School ","91.9","0153711","201314"
"State High Poverty Quartile Schools ","97.8","0153711","201314"
"State Low Poverty Quartile Schools ","99.5","0153711","201314"
"School ","100","0153711","201415"
"State High Poverty Quartile Schools ","97.9","0153711","201415"
"State Low Poverty Quartile Schools ","99.6","0153711","201415"
"School ","100","0153711","201516"
"State High Poverty Quartile Schools ","97.6","0153711","201516"
"State Low Poverty Quartile Schools ","99.6","0153711","201516"
"School ","98.7","0153911","201314"
"State High Poverty Quartile Schools ","97.8","0153911","201314"
"State Low Poverty Quartile Schools ","99.5","0153911","201314"
"School ","100","0153911","201415"
"State High Poverty Quartile Schools ","97.9","0153911","201415"
"State Low Poverty Quartile Schools ","99.6","0153911","201415"
"School ","100","0153911","201516"
"State High Poverty Quartile Schools ","97.6","0153911","201516"
"State Low Poverty Quartile Schools ","99.6","0153911","201516"
"School ","100","0154011","201314"
"State High Poverty Quartile Schools ","97.8","0154011","201314"
