"category","chron_abs_count","chron_abs_rate","susp_exp_count","susp_exp_rate","school_id","year"
"School 52 ","14.4 ",NA,"88","18.5","0025111","201516"
"District ","14.5 ",NA,NA,"8.2","0025111","201516"
"Number of students in 2014-15 qualified as truant under state statute:  64","",NA,NA,"","0025111","201516"
"Female ","37 ","14.1 ","10 ","3.8","0026111","201314"
"Male ","52 ","16.3 ","51 ","15.5","0026111","201314"
"Black or African American ","29 ","22.5 ","23 ","17.5","0026111","201314"
"Hispanic or Latino ","26 ","18.2 ","19 ","12.8","0026111","201314"
"White ","32 ","10.8 ","17 ","5.6","0026111","201314"
"English Language Learners ","* ","* ","* ","*","0026111","201314"
"Eligible for Free or Reduced-Price Meals ","68 ","19.9 ","44 ","12.3","0026111","201314"
"Students with Disabilities ","21 ","31.3 ","13 ","18.5","0026111","201314"
"School ","89 ","15.3 ","61 ","10.3","0026111","201314"
"District ","","11.3 ","","8.2","0026111","201314"
"Female ","52 ","19.2 ","20 ","7.2","0026111","201415"
"Male ","74 ","23.7 ","29 ","9.2","0026111","201415"
"Black or African American ","* ","* ","18 ","13.4","0026111","201415"
"Hispanic or Latino ","35 ","23.8 ","21 ","14.0","0026111","201415"
"White ","55 ","19.3 ","10 ","3.4","0026111","201415"
"English Language Learners ","* ","* ","* ","*","0026111","201415"
"Eligible for Free or Reduced-Price Meals ","89 ","25.3 ","42 ","11.1","0026111","201415"
"Students with Disabilities ","24 ","28.9 ","15 ","17.4","0026111","201415"
"School ","126 ","21.6 ","49 ","8.3","0026111","201415"
"District ","","16.3 ","","7.1","0026111","201415"
"Male 46 ","14.7 ","27","","8.6","0026111","201516"
"Black or African American 25 ","18.2 ","20","","14.3","0026111","201516"
"Hispanic or Latino 31 ","20.5 ","17","","11.2","0026111","201516"
"White 35 ","12.5 ",NA,"* ","*","0026111","201516"
"English Language Learners * ","* ",NA,"0 ","*","0026111","201516"
"Eligible for Free or Reduced-Price Meals 72 ","19.4 ","40","","10.3","0026111","201516"
"Students with Disabilities 14 ","14.7 ","14","","14.4","0026111","201516"
"School 93 ","15.7 ","49","","8.2","0026111","201516"
"District ","14.5 ",NA,"","8.2","0026111","201516"
"Number of students in 2014-15 qualified as truant under state statute:  277","",NA,"","","0026111","201516"
"Female ","10 ","5.3 ","* ","*","0030111","201314"
"Male ","19 ","9.8 ","* ","*","0030111","201314"
"Black or African American ","N/A ","N/A ","N/A ","N/A","0030111","201314"
"Hispanic or Latino ","* ","* ","0 ","0.0","0030111","201314"
"White ","* ","* ","10 ","2.6","0030111","201314"
"English Language Learners ","0 ","* ","0 ","*","0030111","201314"
"Eligible for Free or Reduced-Price Meals ","15 ","13.2 ","* ","*","0030111","201314"
"Students with Disabilities ","* ","* ","* ","*","0030111","201314"
"School ","29 ","7.6 ","10 ","2.3","0030111","201314"
"District ","","7.8 ","","2.3","0030111","201314"
"Female ","12 ","7.0 ","* ","*","0030111","201415"
"Male ","13 ","6.8 ","* ","*","0030111","201415"
"Black or African American ","0 ","* ","* ","*","0030111","201415"
"Hispanic or Latino ","* ","* ","* ","*","0030111","201415"
"White ","20 ","6.4 ","16 ","4.5","0030111","201415"
"English Language Learners ","* ","* ","0 ","*","0030111","201415"
"Eligible for Free or Reduced-Price Meals ","12 ","9.5 ","14 ","10.0","0030111","201415"
"Students with Disabilities ","* ","* ","* ","*","0030111","201415"
"School ","25 ","6.9 ","20 ","4.8","0030111","201415"
"District ","","6.8 ","","4.8","0030111","201415"
"Male 9 ","5.3 ",NA,"* ","*","0030111","201516"
"Black or African American * ","* ",NA,"* ","*","0030111","201516"
"Hispanic or Latino * ","* ",NA,"* ","*","0030111","201516"
"White 14 ","4.8 ",NA,"12 ","3.6","0030111","201516"
"English Language Learners * ","* ",NA,"0 ","*","0030111","201516"
"Eligible for Free or Reduced-Price Meals 9 ","7.5 ",NA,"12 ","8.8","0030111","201516"
"Students with Disabilities * ","* ",NA,"* ","*","0030111","201516"
"School 18 ","5.2 ",NA,"14 ","3.5","0030111","201516"
"District ","5.1 ",NA,"","3.5","0030111","201516"
"Number of students in 2014-15 qualified as truant under state statute:  0","",NA,"","","0030111","201516"
"Female ","21 ","7.5 ","0 ","0.0","0040311","201314"
"Male ","14 ","4.5 ","* ","*","0040311","201314"
"Black or African American ","* ","* ","0 ","0.0","0040311","201314"
"Hispanic or Latino ","6 ","14.3 ","0 ","0.0","0040311","201314"
"White ","20 ","4.7 ","* ","*","0040311","201314"
"English Language Learners ","* ","* ","0 ","*","0040311","201314"
"Eligible for Free or Reduced-Price Meals ","8 ","24.2 ","0 ","0.0","0040311","201314"
"Students with Disabilities ","* ","* ","0 ","0.0","0040311","201314"
"School ","35 ","5.9 ","* ","*","0040311","201314"
"District ","","4.9 ","","2.0","0040311","201314"
"Female ","11 ","4.2 ","0 ","0.0","0040311","201415"
"Male ","14 ","5.0 ","* ","*","0040311","201415"
"Black or African American ","* ","* ","0 ","0.0","0040311","201415"
"Hispanic or Latino ","* ","* ","0 ","0.0","0040311","201415"
"White ","12 ","3.2 ","* ","*","0040311","201415"
"English Language Learners ","* ","* ","0 ","*","0040311","201415"
"Eligible for Free or Reduced-Price Meals ","7 ","21.2 ","0 ","0.0","0040311","201415"
"Students with Disabilities ","* ","* ","* ","*","0040311","201415"
"School ","25 ","4.6 ","* ","*","0040311","201415"
"District ","","3.0 ","","1.7","0040311","201415"
"Male 21 ","8.1 ",NA,"* ","*","0040311","201516"
"Black or African American * ","* ",NA,"0 ","0.0","0040311","201516"
"Hispanic or Latino * ","* ",NA,"0 ","0.0","0040311","201516"
"White 16 ","5.0 ",NA,"* ","*","0040311","201516"
"English Language Learners * ","* ",NA,"0 ","*","0040311","201516"
"Eligible for Free or Reduced-Price Meals 7 ","24.1 ",NA,"0 ","0.0","0040311","201516"
"Students with Disabilities * ","* ",NA,"* ","*","0040311","201516"
"School 32 ","6.4 ",NA,"* ","*","0040311","201516"
"District ","4.5 ",NA,"","1.8","0040311","201516"
"Number of students in 2014-15 qualified as truant under state statute:  6","",NA,"","","0040311","201516"
"Female ","11 ","3.7 ","* ","*","0040411","201314"
"Male ","17 ","6.3 ","* ","*","0040411","201314"
"Black or African American ","* ","* ","* ","*","0040411","201314"
"Hispanic or Latino ","* ","* ","0 ","0.0","0040411","201314"
"White ","11 ","2.7 ","* ","*","0040411","201314"
"English Language Learners ","0 ","0.0 ","0 ","0.0","0040411","201314"
"Eligible for Free or Reduced-Price Meals ","* ","* ","* ","*","0040411","201314"
"Students with Disabilities ","* ","* ","0 ","0.0","0040411","201314"
"School ","28 ","5.0 ","* ","*","0040411","201314"
"District ","","4.9 ","","2.0","0040411","201314"
"Female ","0","0","* ","*","0040411","201415"
"Male ","0","0","* ","*","0040411","201415"
"Black or African American ","0","0","* ","*","0040411","201415"
"Hispanic or Latino ","0","0","0 ","0.0","0040411","201415"
"White ","0","0","* ","*","0040411","201415"
"English Language Learners ","0","0","0 ","0.0","0040411","201415"
"Eligible for Free or Reduced-Price Meals ","0","0","* ","*","0040411","201415"
"Students with Disabilities ","0","0","0 ","0.0","0040411","201415"
"School ","0","0","* ","*","0040411","201415"
"District ",NA,"3","","1.7","0040411","201415"
"Male 9 ","3.0 ",NA,"* ","*","0040411","201516"
"Black or African American * ","* ",NA,"* ","*","0040411","201516"
"Hispanic or Latino * ","* ",NA,"* ","*","0040411","201516"
"White 14 ","3.7 ",NA,"* ","*","0040411","201516"
"English Language Learners * ","* ",NA,"* ","*","0040411","201516"
"Eligible for Free or Reduced-Price Meals * ","* ",NA,"* ","*","0040411","201516"
"Students with Disabilities * ","* ",NA,"0 ","0.0","0040411","201516"
"School 23 ","3.7 ",NA,"6 ","1.0","0040411","201516"
"District ","4.5 ",NA,"","1.8","0040411","201516"
"Number of students in 2014-15 qualified as truant under state statute:  0","",NA,"","","0040411","201516"
"Female ","12 ","4.7 ","0 ","0.0","0040511","201314"
"Male ","15 ","5.1 ","* ","*","0040511","201314"
"Black or African American ","* ","* ","0 ","0.0","0040511","201314"
"Hispanic or Latino ","0 ","0.0 ","0 ","0.0","0040511","201314"
"White ","20 ","4.8 ","* ","*","0040511","201314"
"English Language Learners ","0 ","* ","0 ","*","0040511","201314"
"Eligible for Free or Reduced-Price Meals ","* ","* ","0 ","0.0","0040511","201314"
"Students with Disabilities ","* ","* ","0 ","0.0","0040511","201314"
"School ","27 ","4.9 ","* ","*","0040511","201314"
"District ","","4.9 ","","2.0","0040511","201314"
"Female ","11 ","4.5 ","0 ","0.0","0040511","201415"
"Male ","14 ","4.5 ","* ","*","0040511","201415"
"Black or African American ","* ","* ","0 ","0.0","0040511","201415"
"Hispanic or Latino ","* ","* ","0 ","0.0","0040511","201415"
"White ","17 ","4.1 ","* ","*","0040511","201415"
"English Language Learners ","0 ","* ","0 ","*","0040511","201415"
"Eligible for Free or Reduced-Price Meals ","0 ","0.0 ","0 ","0.0","0040511","201415"
"Students with Disabilities ","6 ","10.2 ","* ","*","0040511","201415"
"School ","25 ","4.5 ","* ","*","0040511","201415"
"District ","","3.0 ","","1.7","0040511","201415"
"Male 11 ","3.9 ",NA,"* ","*","0040511","201516"
"Black or African American * ","* ",NA,"* ","*","0040511","201516"
"Hispanic or Latino * ","* ",NA,"0 ","0.0","0040511","201516"
"White 10 ","2.6 ",NA,"* ","*","0040511","201516"
"English Language Learners 0 ","* ",NA,"0 ","*","0040511","201516"
"Eligible for Free or Reduced-Price Meals 7 ","25.9 ",NA,"* ","*","0040511","201516"
"Students with Disabilities * ","* ",NA,"0 ","0.0","0040511","201516"
"School 17 ","3.1 ",NA,"* ","*","0040511","201516"
"District ","4.5 ",NA,"","1.8","0040511","201516"
"Number of students in 2014-15 qualified as truant under state statute:  17","",NA,"","","0040511","201516"
"Female ","16 ","5.3 ","* ","*","0045111","201314"
"Male ","14 ","4.9 ","* ","*","0045111","201314"
"Black or African American ","* ","* ","* ","*","0045111","201314"
"Hispanic or Latino ","* ","* ","* ","*","0045111","201314"
"White ","24 ","5.3 ","15 ","3.2","0045111","201314"
"English Language Learners ","0 ","* ","0 ","*","0045111","201314"
"Eligible for Free or Reduced-Price Meals ","* ","* ","6 ","20.6","0045111","201314"
"Students with Disabilities ","* ","* ","* ","*","0045111","201314"
"School ","30 ","5.1 ","26 ","4.4","0045111","201314"
"District ","","4.9 ","","2.0","0045111","201314"
"Female ","0 ","0.0 ","8 ","2.7","0045111","201415"
"Male ","* ","* ","13 ","4.9","0045111","201415"
"Black or African American ","0 ","* ","* ","*","0045111","201415"
"Hispanic or Latino ","0 ","0.0 ","* ","*","0045111","201415"
"White ","* ","* ","10 ","2.3","0045111","201415"
"English Language Learners ","0 ","* ","* ","*","0045111","201415"
"Eligible for Free or Reduced-Price Meals ","0 ","0.0 ","9 ","26.4","0045111","201415"
"Students with Disabilities ","0 ","0.0 ","* ","*","0045111","201415"
"School ","* ","* ","21 ","3.8","0045111","201415"
"District ","","3.0 ","","1.7","0045111","201415"
"Male * ","* ","17 ",NA,"5.9","0045111","201516"
"Black or African American * ","* ","6 ",NA,"28.6","0045111","201516"
"Hispanic or Latino 0 ","0.0 ","* ",NA,"*","0045111","201516"
"White 15 ","3.7 ","13 ",NA,"3.2","0045111","201516"
"English Language Learners 0 ","* ","0 ",NA,"*","0045111","201516"
"Eligible for Free or Reduced-Price Meals * ","* ","7 ",NA,"24.1","0045111","201516"
"Students with Disabilities * ","* ","* ",NA,"*","0045111","201516"
"School 18 ","3.3 ","24 ",NA,"4.4","0045111","201516"
"District ","4.5 ","",NA,"1.8","0045111","201516"
"Number of students in 2014-15 qualified as truant under state statute:  Fewer than 6","","",NA,"","0045111","201516"
"Female ","29 ","5.3 ","13 ","2.3","0046111","201314"
"Male ","10 ","2.0 ","23 ","4.6","0046111","201314"
"Black or African American ","6 ","17.6 ","11 ","32.3","0046111","201314"
"Hispanic or Latino ","* ","* ","* ","*","0046111","201314"
"White ","27 ","3.3 ","18 ","2.1","0046111","201314"
"English Language Learners ","0 ","* ","0 ","*","0046111","201314"
"Eligible for Free or Reduced-Price Meals ","11 ","15.9 ","16 ","22.5","0046111","201314"
"Students with Disabilities ","12 ","11.3 ","16 ","13.9","0046111","201314"
"School ","39 ","3.7 ","36 ","3.4","0046111","201314"
"District ","","4.9 ","","2.0","0046111","201314"
"Female ","34","6.5 ","9 ","1.7","0046111","201415"
"Male ","15","2.9 ","21 ","4.0","0046111","201415"
"Black or African American ","10","26.3 ","11 ","28.9","0046111","201415"
"Hispanic or Latino ","6","9.2 ","* ","*","0046111","201415"
"White ","31","4.0 ","13 ","1.6","0046111","201415"
"English Language Learners ","0","* ","0 ","*","0046111","201415"
"Eligible for Free or Reduced-Price Meals ","9","19.1 ","9 ","13.2","0046111","201415"
"Students with Disabilities ","13","13.0 ","6 ","5.7","0046111","201415"
"School ","49","4.7 ","30 ","2.8","0046111","201415"
"District ",NA,"3.0 ","","1.7","0046111","201415"
"Male 25 ","4.9 ","12 ",NA,"2.4","0046111","201516"
"Black or African American 12 ","28.6 ","12 ",NA,"28.6","0046111","201516"
"Hispanic or Latino * ","* ","* ",NA,"*","0046111","201516"
"White 32 ","4.2 ","8 ",NA,"1.0","0046111","201516"
"English Language Learners 0 ","* ","0 ",NA,"*","0046111","201516"
"Eligible for Free or Reduced-Price Meals 10 ","20.4 ","9 ",NA,"18.4","0046111","201516"
"Students with Disabilities 10 ","10.3 ","8 ",NA,"7.6","0046111","201516"
"School 54 ","5.2 ","24 ",NA,"2.3","0046111","201516"
"District ","4.5 ","",NA,"1.8","0046111","201516"
"Number of students in 2014-15 qualified as truant under state statute:  Fewer than 6","","",NA,"","0046111","201516"
"Female ","* ","* ","0 ","0.0","0050111","201314"
"Male ","* ","* ","* ","*","0050111","201314"
"Black or African American ","* ","* ","0 ","*","0050111","201314"
"Hispanic or Latino ","0 ","* ","0 ","*","0050111","201314"
"White ","* ","* ","* ","*","0050111","201314"
"English Language Learners ","0 ","* ","0 ","*","0050111","201314"
"Eligible for Free or Reduced-Price Meals ","0 ","0.0 ","* ","*","0050111","201314"
"Students with Disabilities ","* ","* ","* ","*","0050111","201314"
"School ","10 ","3.5 ","* ","*","0050111","201314"
"District ","","3.5 ","","*","0050111","201314"
"Female ","* ","* ","0 ","0.0","0050111","201415"
"Male ","* ","* ","* ","*","0050111","201415"
"Black or African American ","0 ","* ","0 ","*","0050111","201415"
"Hispanic or Latino ","0 ","* ","0 ","*","0050111","201415"
"White ","6 ","2.1 ","* ","*","0050111","201415"
"English Language Learners ","N/A ","N/A ","N/A ","N/A","0050111","201415"
"Eligible for Free or Reduced-Price Meals ","* ","* ","0 ","0.0","0050111","201415"
"Students with Disabilities ","* ","* ","* ","*","0050111","201415"
"School ","6 ","2.0 ","* ","*","0050111","201415"
"District ","","2.0 ","","*","0050111","201415"
"Male * ","* ",NA,"0 ","0.0","0050111","201516"
"Black or African American 0 ","* ",NA,"0 ","*","0050111","201516"
"Hispanic or Latino 0 ","* ",NA,"0 ","*","0050111","201516"
"White 11 ","4.4 ",NA,"0 ","0.0","0050111","201516"
"English Language Learners N/A ","N/A ",NA,"N/A ","N/A","0050111","201516"
"Eligible for Free or Reduced-Price Meals * ","* ",NA,"0 ","0.0","0050111","201516"
"Students with Disabilities * ","* ",NA,"0 ","0.0","0050111","201516"
"School 11 ","4.3 ",NA,"0 ","0.0","0050111","201516"
"District ","4.2 ",NA,"","0.0","0050111","201516"
"Number of students in 2014-15 qualified as truant under state statute:  0","",NA,"","","0050111","201516"
"Female ","* ","* ","0 ","0.0","0070111","201314"
"Male ","* ","* ","* ","*","0070111","201314"
"Black or African American ","0 ","* ","0 ","*","0070111","201314"
"Hispanic or Latino ","* ","* ","* ","*","0070111","201314"
"White ","* ","* ","* ","*","0070111","201314"
"English Language Learners ","* ","* ","0 ","0.0","0070111","201314"
"Eligible for Free or Reduced-Price Meals ","6 ","11.5 ","* ","*","0070111","201314"
"Students with Disabilities ","0 ","0.0 ","* ","*","0070111","201314"
"School ","9 ","3.6 ","* ","*","0070111","201314"
"District ","","4.9 ","","3.5","0070111","201314"
"Female ","* ","* ","* ","*","0070111","201415"
"Male ","* ","* ","* ","*","0070111","201415"
"Black or African American ","0 ","* ","* ","*","0070111","201415"
"Hispanic or Latino ","* ","* ","* ","*","0070111","201415"
"White ","* ","* ","0 ","0.0","0070111","201415"
"English Language Learners ","* ","* ","0 ","*","0070111","201415"
"Eligible for Free or Reduced-Price Meals ","* ","* ","* ","*","0070111","201415"
"Students with Disabilities ","* ","* ","* ","*","0070111","201415"
"School ","6 ","2.6 ","* ","*","0070111","201415"
"District ","","6.0 ","","3.3","0070111","201415"
"Male * ","* ",NA,"* ","*","0070111","201516"
"Black or African American 0 ","* ",NA,"0 ","*","0070111","201516"
"Hispanic or Latino * ","* ",NA,"* ","*","0070111","201516"
"White * ","* ",NA,"* ","*","0070111","201516"
"English Language Learners 0 ","* ",NA,"0 ","*","0070111","201516"
"Eligible for Free or Reduced-Price Meals * ","* ",NA,"* ","*","0070111","201516"
"Students with Disabilities * ","* ",NA,"* ","*","0070111","201516"
"School 8 ","3.5 ",NA,"* ","*","0070111","201516"
"District ","3.7 ",NA,"","3.1","0070111","201516"
"Number of students in 2014-15 qualified as truant under state statute:  0","",NA,"","","0070111","201516"
"Female ","6 ","2.9 ","0 ","0.0","0070411","201314"
"Male ","6 ","2.4 ","* ","*","0070411","201314"
"Black or African American ","* ","* ","0 ","*","0070411","201314"
"Hispanic or Latino ","* ","* ","0 ","0.0","0070411","201314"
"White ","6 ","1.6 ","* ","*","0070411","201314"
"English Language Learners ","* ","* ","0 ","0.0","0070411","201314"
"Eligible for Free or Reduced-Price Meals ","8 ","12.3 ","0 ","0.0","0070411","201314"
"Students with Disabilities ","* ","* ","0 ","0.0","0070411","201314"
"School ","12 ","2.6 ","* ","*","0070411","201314"
"District ","","4.9 ","","3.5","0070411","201314"
"Female ","* ","* ","0","0.0","0070411","201415"
"Male ","* ","* ","0","0.0","0070411","201415"
"Black or African American ","0 ","* ","0","*","0070411","201415"
"Hispanic or Latino ","* ","* ","0","0.0","0070411","201415"
"White ","* ","* ","0","0.0","0070411","201415"
"English Language Learners ","* ","* ","0","0.0","0070411","201415"
"Eligible for Free or Reduced-Price Meals ","* ","* ","0","0.0","0070411","201415"
"Students with Disabilities ","* ","* ","0","0.0","0070411","201415"
"School ","9 ","2.0 ","0","0.0","0070411","201415"
"District ","","6.0 ",NA,"3.3","0070411","201415"
"Male * ","* ",NA,"0","0.0","0070411","201516"
"Black or African American * ","* ",NA,"0","*","0070411","201516"
"Hispanic or Latino * ","* ",NA,"0","0.0","0070411","201516"
"White 8 ","2.2 ",NA,"0","0.0","0070411","201516"
"English Language Learners * ","* ",NA,"0","0.0","0070411","201516"
"Eligible for Free or Reduced-Price Meals 8 ","10.8 ",NA,"0","0.0","0070411","201516"
"Students with Disabilities 7 ","12.1 ",NA,"0","0.0","0070411","201516"
"School 15 ","3.4 ",NA,"0","0.0","0070411","201516"
"District ","3.7 ",NA,NA,"3.1","0070411","201516"
"Number of students in 2014-15 qualified as truant under state statute:  0","",NA,NA,"","0070411","201516"
"Female ","* ","* ","0 ","0.0","0070511","201314"
"Male ","* ","* ","* ","*","0070511","201314"
"Black or African American ","0 ","* ","* ","*","0070511","201314"
"Hispanic or Latino ","* ","* ","* ","*","0070511","201314"
"White ","* ","* ","* ","*","0070511","201314"
"English Language Learners ","* ","* ","0 ","*","0070511","201314"
"Eligible for Free or Reduced-Price Meals ","* ","* ","* ","*","0070511","201314"
"Students with Disabilities ","* ","* ","* ","*","0070511","201314"
"School ","8 ","1.4 ","* ","*","0070511","201314"
"District ","","4.9 ","","3.5","0070511","201314"
"Female ","* ","* ","0","0.0","0070511","201415"
"Male ","* ","* ","0","0.0","0070511","201415"
"Black or African American ","0 ","* ","0","*","0070511","201415"
"Hispanic or Latino ","* ","* ","0","0.0","0070511","201415"
"White ","* ","* ","0","0.0","0070511","201415"
"English Language Learners ","0 ","* ","0","*","0070511","201415"
"Eligible for Free or Reduced-Price Meals ","* ","* ","0","0.0","0070511","201415"
"Students with Disabilities ","* ","* ","0","0.0","0070511","201415"
