"poverty_quartile","school_id","year"
"Low","0511811","201415"
"Low","0511811","201516"
"Middle","0515111","201314"
"Middle","0515111","201415"
"Middle","0515111","201516"
"Low","0515211","201314"
"Low","0515211","201415"
"Low","0515211","201516"
"Low","0515311","201314"
"Low","0515311","201415"
"Low","0515311","201516"
"Low","0516011","201314"
"Low","0516011","201415"
"Low","0516011","201516"
"Middle","0516211","201314"
"Middle","0516211","201415"
"Low","0516211","201516"
"Middle","0520111","201314"
"Middle","0520111","201415"
"Middle","0520111","201516"
"Low","0520211","201314"
"Low","0520211","201415"
"Low","0520211","201516"
"Low","0520311","201314"
"Low","0520311","201415"
"Low","0520311","201516"
"Low","0520411","201314"
"Low","0520411","201415"
"Low","0520411","201516"
"Low","0520511","201314"
"Low","0520511","201415"
"Low","0520511","201516"
"Low","0525111","201314"
"Low","0525111","201415"
"Low","0525111","201516"
"Low","0526111","201314"
"Low","0526111","201415"
"Low","0526111","201516"
"Middle","0530111","201314"
"Middle","0530111","201415"
"Low","0530111","201516"
"Low","0540211","201314"
"Low","0540211","201415"
"Low","0540211","201516"
"Low","0540311","201314"
"Low","0540311","201415"
"Low","0540311","201516"
"Low","0540411","201314"
"Low","0540411","201415"
"Low","0540411","201516"
"Low","0540611","201314"
"Low","0540611","201415"
"Low","0540611","201516"
"Middle","0540711","201314"
"Middle","0540711","201415"
"Middle","0540711","201516"
"Low","0540811","201314"
"Low","0540811","201415"
"Low","0540811","201516"
"Low","0540911","201314"
"Low","0540911","201415"
"Low","0540911","201516"
"Low","0545211","201314"
"Low","0545211","201415"
"Low","0545211","201516"
"Low","0546111","201314"
"Low","0546111","201415"
"Low","0546111","201516"
"Low","0560111","201314"
"Low","0560111","201415"
"Low","0560111","201516"
"Middle","0560311","201314"
"Low","0560311","201415"
"Low","0560311","201516"
"Low","0560411","201314"
"Low","0560411","201415"
"Low","0560411","201516"
"Low","0565111","201314"
"Low","0565111","201415"
"Low","0565111","201516"
"Low","0566111","201314"
"Low","0566111","201415"
"Low","0566111","201516"
"Low","0570211","201314"
"Low","0570211","201415"
"Low","0570211","201516"
"Middle","0570311","201314"
"Middle","0570311","201415"
"Middle","0570311","201516"
"Low","0570411","201314"
"Low","0570411","201415"
"Low","0570411","201516"
"Middle","0570511","201314"
"Middle","0570511","201415"
"Middle","0570511","201516"
"Middle","0570611","201314"
"Middle","0570611","201415"
"Middle","0570611","201516"
"Low","0570711","201314"
"Low","0570711","201415"
"Low","0570711","201516"
"Low","0570811","201314"
"Low","0570811","201415"
"Low","0570811","201516"
"Low","0570911","201314"
"Low","0570911","201415"
"Low","0570911","201516"
"Low","0571011","201314"
"Low","0571011","201415"
"Low","0571011","201516"
"Low","0571111","201314"
"Low","0571111","201415"
"Low","0571111","201516"
"Low","0571311","201314"
"Low","0571311","201415"
"Low","0571311","201516"
"Middle","0575111","201314"
"Low","0575111","201415"
"Low","0575111","201516"
"Low","0575211","201314"
"Low","0575211","201415"
"Low","0575211","201516"
"Middle","0575311","201314"
"Middle","0575311","201415"
"Middle","0575311","201516"
"Middle","0576111","201314"
"Middle","0576111","201415"
"Middle","0576111","201516"
"High","0580111","201415"
"Middle","0580111","201516"
"Middle","0580311","201314"
"Middle","0580311","201415"
"Middle","0580311","201516"
"Middle","0585111","201314"
"Middle","0585111","201415"
"Middle","0585111","201516"
"Middle","0586211","201314"
"Middle","0586211","201415"
"Middle","0586211","201516"
"Middle","0590111","201314"
"Middle","0590111","201415"
"Middle","0590111","201516"
"High","0590311","201314"
"High","0590311","201415"
"High","0590311","201516"
"Middle","0591211","201314"
"Middle","0591211","201415"
"Middle","0591211","201516"
"Middle","0591711","201314"
"Middle","0591711","201415"
"Middle","0591711","201516"
"Middle","0591811","201314"
"Middle","0591811","201415"
"Middle","0591811","201516"
"Middle","0591911","201314"
"Middle","0591911","201415"
"Middle","0591911","201516"
"High","0592011","201314"
"High","0592011","201415"
"Middle","0592011","201516"
"High","0595211","201314"
"High","0595211","201415"
"Middle","0595211","201516"
"Middle","0595311","201314"
"Middle","0595311","201415"
"Middle","0595311","201516"
"Middle","0596111","201314"
"Middle","0596111","201415"
"Middle","0596111","201516"
"Low","0600211","201314"
"Low","0600211","201415"
"Low","0600211","201516"
"Low","0600311","201314"
"Low","0600311","201415"
"Low","0600311","201516"
"Low","0600411","201314"
"Low","0600411","201415"
"Low","0600411","201516"
"Low","0600611","201314"
"Low","0600611","201415"
"Low","0600611","201516"
"Low","0600711","201314"
"Low","0600711","201415"
"Low","0600711","201516"
"Low","0605111","201314"
"Low","0605111","201415"
"Low","0605111","201516"
"Low","0606111","201314"
"Low","0606111","201415"
"Low","0606111","201516"
"Middle","0620111","201314"
"Middle","0620111","201415"
"Middle","0620111","201516"
"High","0620211","201314"
"High","0620211","201415"
"High","0620211","201516"
"Middle","0620311","201314"
"Middle","0620311","201415"
"Middle","0620311","201516"
"High","0620411","201314"
"High","0620411","201415"
"High","0620411","201516"
"Middle","0621011","201314"
"Middle","0621011","201415"
"Middle","0621011","201516"
"High","0621111","201314"
"High","0621111","201415"
"Middle","0621111","201516"
"Middle","0621211","201314"
"Middle","0621211","201415"
"Middle","0621211","201516"
"Middle","0621411","201314"
"Low","0621411","201415"
"Low","0621411","201516"
"Middle","0625211","201314"
"Middle","0625211","201415"
"Middle","0625211","201516"
"Middle","0626111","201314"
"Middle","0626111","201415"
"Middle","0626111","201516"
"Middle","0630111","201314"
"Middle","0630111","201415"
"Middle","0630111","201516"
"High","0640111","201314"
"High","0640111","201415"
"High","0640111","201516"
"High","0640411","201314"
"High","0640411","201415"
"High","0640411","201516"
"Middle","0640511","201314"
"Middle","0640511","201415"
"Middle","0640511","201516"
"High","0640611","201314"
"High","0640611","201415"
"High","0640611","201516"
"High","0640711","201314"
"High","0640711","201415"
"High","0640711","201516"
"High","0640811","201314"
"High","0640811","201415"
"High","0640811","201516"
"High","0640911","201314"
"High","0640911","201415"
"High","0640911","201516"
"High","0641011","201314"
"High","0641011","201415"
"High","0641011","201516"
"High","0641111","201314"
"High","0641111","201415"
"High","0641111","201516"
"High","0641211","201314"
"High","0641211","201415"
"High","0641211","201516"
"N/A","0641311","201314"
"N/A","0641311","201415"
"N/A","0641311","201516"
"High","0641411","201314"
"High","0641411","201415"
"High","0641411","201516"
"High","0641511","201314"
"High","0641511","201415"
"High","0641511","201516"
"High","0641611","201314"
"High","0641611","201415"
"High","0641611","201516"
"High","0641711","201314"
"High","0641711","201415"
"High","0641711","201516"
"High","0641911","201314"
"High","0641911","201415"
"High","0641911","201516"
"Middle","0642011","201314"
"Middle","0642011","201415"
"Middle","0642011","201516"
"High","0642111","201314"
"High","0642111","201415"
"High","0642111","201516"
"High","0642211","201314"
"High","0642211","201415"
"High","0642211","201516"
"High","0642311","201314"
"High","0642311","201415"
"High","0642311","201516"
"Middle","0642511","201314"
"Middle","0642511","201415"
"Middle","0642511","201516"
"High","0642611","201314"
"High","0642611","201415"
"High","0642611","201516"
"High","0642811","201314"
"Middle","0642811","201415"
"Middle","0642811","201516"
"High","0643011","201314"
"High","0643011","201415"
"High","0643011","201516"
"High","0643211","201314"
"High","0643211","201415"
"High","0643211","201516"
"Middle","0643311","201314"
"Middle","0643311","201415"
"Middle","0643311","201516"
"High","0643511","201314"
"Middle","0643511","201415"
"Middle","0643511","201516"
"High","0643611","201314"
"High","0643611","201415"
"High","0643611","201516"
"Middle","0643711","201314"
"Middle","0643711","201415"
"Middle","0643711","201516"
"Middle","0643811","201314"
"Middle","0643811","201415"
"Middle","0643811","201516"
"High","0643911","201415"
"High","0643911","201516"
"High","0644011","201314"
"High","0644011","201415"
"High","0644011","201516"
"Middle","0645411","201314"
"Middle","0645411","201415"
"Middle","0645411","201516"
"High","0646011","201314"
"High","0646011","201415"
"High","0646011","201516"
"Middle","0646411","201314"
"Middle","0646411","201415"
"Middle","0646411","201516"
"High","0646511","201314"
"High","0646511","201415"
"High","0646511","201516"
"Middle","0646611","201314"
"Middle","0646611","201415"
"Middle","0646611","201516"
"Middle","0646711","201314"
"Middle","0646711","201415"
"Middle","0646711","201516"
"Middle","0646911","201314"
"High","0646911","201415"
"Middle","0646911","201516"
"High","0647111","201314"
"High","0647111","201415"
"High","0647111","201516"
"High","0647211","201314"
"High","0647211","201415"
"High","0647211","201516"
"High","0647411","201314"
"High","0647411","201415"
"High","0647411","201516"
"High","0647511","201314"
"High","0647511","201415"
"High","0647511","201516"
"High","0647611","201314"
"High","0647611","201415"
"High","0647611","201516"
"High","0647711","201314"
"High","0647711","201415"
"High","0647711","201516"
"Middle","0647911","201314"
"Middle","0647911","201415"
"Middle","0647911","201516"
"Low","0650111","201314"
"Low","0650111","201415"
"Low","0650111","201516"
"Low","0670111","201314"
"Low","0670111","201415"
"Low","0670111","201516"
"Low","0670211","201314"
"Low","0670211","201415"
"Low","0670211","201516"
"Middle","0680111","201314"
"Low","0680111","201415"
"Low","0680111","201516"
"Middle","0690111","201314"
"Middle","0690111","201415"
"Middle","0690111","201516"
"Middle","0690311","201314"
"Middle","0690311","201415"
"Middle","0690311","201516"
"Middle","0695211","201314"
"Middle","0695211","201415"
"Middle","0695211","201516"
"Middle","0696111","201314"
"Middle","0696111","201415"
"Middle","0696111","201516"
"Middle","0710111","201314"
"Middle","0710111","201415"
"Middle","0710111","201516"
"Middle","0715111","201314"
"Middle","0715111","201415"
"Middle","0715111","201516"
"Low","0716211","201314"
"Low","0716211","201415"
"Low","0716211","201516"
"Middle","0720111","201314"
"Middle","0720111","201415"
"Middle","0720111","201516"
"Middle","0720211","201314"
"Middle","0720211","201415"
"Middle","0720211","201516"
"Middle","0720311","201314"
"Middle","0720311","201415"
"Middle","0720311","201516"
"Middle","0720411","201314"
"Middle","0720411","201415"
"Middle","0720411","201516"
"Middle","0725111","201314"
"Middle","0725111","201415"
"Middle","0725111","201516"
"Middle","0726111","201314"
"Middle","0726111","201415"
"Middle","0726111","201516"
"Middle","0730111","201314"
"Middle","0730111","201415"
"Middle","0730111","201516"
"Middle","0740211","201314"
"Low","0740211","201415"
"Low","0740211","201516"
"Middle","0740311","201314"
"Middle","0740311","201415"
"Middle","0740311","201516"
"Low","0746011","201516"
"Middle","0746111","201314"
"Low","0746111","201415"
"Low","0746111","201516"
"Low","0760111","201314"
"Low","0760111","201415"
"Low","0760111","201516"
"Low","0760211","201314"
"Low","0760211","201415"
"Low","0760211","201516"
"Low","0760311","201314"
"Low","0760311","201415"
"Low","0760311","201516"
"Low","0760611","201314"
"Low","0760611","201415"
"Low","0760611","201516"
"Low","0765211","201314"
"Low","0765211","201415"
"Low","0765211","201516"
"Low","0766111","201314"
"Low","0766111","201415"
"Low","0766111","201516"
"Middle","0770111","201314"
"Middle","0770111","201415"
"Middle","0770111","201516"
"Middle","0770311","201314"
"Middle","0770311","201415"
"Middle","0770311","201516"
"Middle","0770411","201314"
"Middle","0770411","201415"
"Middle","0770411","201516"
"Middle","0770611","201314"
"Middle","0770611","201415"
