"category","fte","school_id","year"
"Instructional Specialists Who Support Teachers ",1.3,"0046111","201415"
"Counselors, Social Workers and School Psychologists ",9.9,"0046111","201415"
"School Nurses ",2.2,"0046111","201415"
"Other Staff Providing Non-Instructional Services/Support ",26.3,"0046111","201415"
"General Education: Teachers and Instructors ",71.6,"0046111","201516"
"General Education: Paraprofessional Instructional Assistants ",6,"0046111","201516"
"Special Education: Teachers and Instructors ",9,"0046111","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",13,"0046111","201516"
"Administrators, Coordinators and Department Chairs: School Level ",3,"0046111","201516"
"Library/Media: Specialists (Certified) ",1,"0046111","201516"
"Support Staff ",1,"0046111","201516"
"Instructional Specialists Who Support Teachers ",2,"0046111","201516"
"Counselors, Social Workers and School Psychologists ",9,"0046111","201516"
"School Nurses ",2.2,"0046111","201516"
"Other Staff Providing Non-Instructional Services/Support ",21.8,"0046111","201516"
"General Education: Teachers and Instructors ",20.5,"0050111","201314"
"General Education: Paraprofessional Instructional Assistants ",2.8,"0050111","201314"
"Special Education: Teachers and Instructors ",2,"0050111","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",7.6,"0050111","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0050111","201314"
"Library/Media: Specialists (Certified) ",1,"0050111","201314"
"Support Staff ",0,"0050111","201314"
"Instructional Specialists Who Support Teachers ",1.2,"0050111","201314"
"Counselors, Social Workers and School Psychologists ",1.4,"0050111","201314"
"School Nurses ",1,"0050111","201314"
"Other Staff Providing Non-Instructional Services/Support ",13.6,"0050111","201314"
"General Education: Teachers and Instructors ",21.7,"0050111","201415"
"General Education: Paraprofessional Instructional Assistants ",2.8,"0050111","201415"
"Special Education: Teachers and Instructors ",1,"0050111","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",9.1,"0050111","201415"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0050111","201415"
"Library/Media: Specialists (Certified) ",1,"0050111","201415"
"Support Staff ",0,"0050111","201415"
"Instructional Specialists Who Support Teachers ",0.5,"0050111","201415"
"Counselors, Social Workers and School Psychologists ",0,"0050111","201415"
"School Nurses ",1,"0050111","201415"
"Other Staff Providing Non-Instructional Services/Support ",13.8,"0050111","201415"
"General Education: Teachers and Instructors ",19.9,"0050111","201516"
"General Education: Paraprofessional Instructional Assistants ",2,"0050111","201516"
"Special Education: Teachers and Instructors ",1,"0050111","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",8.6,"0050111","201516"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0050111","201516"
"Library/Media: Specialists (Certified) ",1,"0050111","201516"
"Support Staff ",0,"0050111","201516"
"Instructional Specialists Who Support Teachers ",1.5,"0050111","201516"
"Counselors, Social Workers and School Psychologists ",0,"0050111","201516"
"School Nurses ",1,"0050111","201516"
"Other Staff Providing Non-Instructional Services/Support ",14,"0050111","201516"
"General Education: Teachers and Instructors ",17.9,"0070111","201314"
"General Education: Paraprofessional Instructional Assistants ",5.2,"0070111","201314"
"Special Education: Teachers and Instructors ",2.3,"0070111","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",2.4,"0070111","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1.4,"0070111","201314"
"Library/Media: Specialists (Certified) ",0.6,"0070111","201314"
"Support Staff ",1,"0070111","201314"
"Instructional Specialists Who Support Teachers ",1.7,"0070111","201314"
"Counselors, Social Workers and School Psychologists ",1,"0070111","201314"
"School Nurses ",1,"0070111","201314"
"Other Staff Providing Non-Instructional Services/Support ",5.5,"0070111","201314"
"General Education: Teachers and Instructors ",16.9,"0070111","201415"
"General Education: Paraprofessional Instructional Assistants ",5.9,"0070111","201415"
"Special Education: Teachers and Instructors ",2.5,"0070111","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",2.4,"0070111","201415"
"Administrators, Coordinators and Department Chairs: School Level ",1.4,"0070111","201415"
"Library/Media: Specialists (Certified) ",0.6,"0070111","201415"
"Support Staff ",1,"0070111","201415"
"Instructional Specialists Who Support Teachers ",2.2,"0070111","201415"
"Counselors, Social Workers and School Psychologists ",1,"0070111","201415"
"School Nurses ",1,"0070111","201415"
"Other Staff Providing Non-Instructional Services/Support ",5.5,"0070111","201415"
"General Education: Teachers and Instructors ",14.9,"0070111","201516"
"General Education: Paraprofessional Instructional Assistants ",6.9,"0070111","201516"
"Special Education: Teachers and Instructors ",2.5,"0070111","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",4,"0070111","201516"
"Administrators, Coordinators and Department Chairs: School Level ",1.4,"0070111","201516"
"Library/Media: Specialists (Certified) ",0.6,"0070111","201516"
"Support Staff ",1,"0070111","201516"
"Instructional Specialists Who Support Teachers ",2.2,"0070111","201516"
"Counselors, Social Workers and School Psychologists ",1.2,"0070111","201516"
"School Nurses ",1,"0070111","201516"
"Other Staff Providing Non-Instructional Services/Support ",4,"0070111","201516"
"General Education: Teachers and Instructors ",30.3,"0070411","201314"
"General Education: Paraprofessional Instructional Assistants ",4.2,"0070411","201314"
"Special Education: Teachers and Instructors ",8,"0070411","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",17.4,"0070411","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0070411","201314"
"Library/Media: Specialists (Certified) ",1,"0070411","201314"
"Support Staff ",0.9,"0070411","201314"
"Instructional Specialists Who Support Teachers ",3.8,"0070411","201314"
"Counselors, Social Workers and School Psychologists ",1.4,"0070411","201314"
"School Nurses ",1,"0070411","201314"
"Other Staff Providing Non-Instructional Services/Support ",11.3,"0070411","201314"
"General Education: Teachers and Instructors ",30.9,"0070411","201415"
"General Education: Paraprofessional Instructional Assistants ",6.3,"0070411","201415"
"Special Education: Teachers and Instructors ",9,"0070411","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",19.8,"0070411","201415"
"Administrators, Coordinators and Department Chairs: School Level ",3,"0070411","201415"
"Library/Media: Specialists (Certified) ",1,"0070411","201415"
"Support Staff ",0.9,"0070411","201415"
"Instructional Specialists Who Support Teachers ",3,"0070411","201415"
"Counselors, Social Workers and School Psychologists ",1.4,"0070411","201415"
"School Nurses ",1,"0070411","201415"
"Other Staff Providing Non-Instructional Services/Support ",10.6,"0070411","201415"
"General Education: Teachers and Instructors ",28.9,"0070411","201516"
"General Education: Paraprofessional Instructional Assistants ",7.6,"0070411","201516"
"Special Education: Teachers and Instructors ",11,"0070411","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",25.4,"0070411","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0070411","201516"
