"category","entrance.rate","pers_year","school_id","year"
"School ","83.7 ","Class of 2015","0076111","201516"
"District ","83.7 ","Class of 2015","0076111","201516"
"Female ","83.9 ","Class of 2013","0096111","201314"
"Male ","59.5 ","Class of 2013","0096111","201314"
"Black or African American ","* ","Class of 2013","0096111","201314"
"Hispanic or Latino ","81.8 ","Class of 2013","0096111","201314"
"White ","69.8 ","Class of 2013","0096111","201314"
"English Language Learners ","* ","Class of 2013","0096111","201314"
"Eligible for Free or ","65.1 ","Class of 2013","0096111","201314"
"Reduced-Price Meals","","Class of 2013","0096111","201314"
"Students with Disabilities ","62.5 ","Class of 2013","0096111","201314"
"School ","71.5 ","Class of 2013","0096111","201314"
"District ","71.5 ","Class of 2013","0096111","201314"
"Female ","80.4 ","Class of 2014","0096111","201415"
"Male ","75.2 ","Class of 2014","0096111","201415"
"Black or African American ","* ","Class of 2014","0096111","201415"
"Hispanic or Latino ","60.7 ","Class of 2014","0096111","201415"
"White ","81.1 ","Class of 2014","0096111","201415"
"English Language Learners ","* ","Class of 2014","0096111","201415"
"Eligible for Free or ","59.2 ","Class of 2014","0096111","201415"
"Reduced-Price Meals","","Class of 2014","0096111","201415"
"Students with Disabilities ","61.3 ","Class of 2014","0096111","201415"
"School ","77.7 ","Class of 2014","0096111","201415"
"District ","77.7 ","Class of 2014","0096111","201415"
"Female ","69.5 ","Class of 2015","0096111","201516"
"Male ","63.0 ","Class of 2015","0096111","201516"
"Black or African American ","* ","Class of 2015","0096111","201516"
"Hispanic or Latino ","56.0 ","Class of 2015","0096111","201516"
"White ","67.3 ","Class of 2015","0096111","201516"
"English Language Learners ","* ","Class of 2015","0096111","201516"
"Eligible for Free or ","50.0 ","Class of 2015","0096111","201516"
"Reduced-Price Meals","","Class of 2015","0096111","201516"
"Students with Disabilities ","32.1 ","Class of 2015","0096111","201516"
"School ","66.2 ","Class of 2015","0096111","201516"
"District ","66.2 ","Class of 2015","0096111","201516"
"Female ","77.0 ","Class of 2013","0116111","201314"
"Male ","61.8 ","Class of 2013","0116111","201314"
"Black or African American ","71.9 ","Class of 2013","0116111","201314"
"Hispanic or Latino ","* ","Class of 2013","0116111","201314"
"White ","* ","Class of 2013","0116111","201314"
"English Language Learners ","N/A ","Class of 2013","0116111","201314"
"Eligible for Free or ","64.4 ","Class of 2013","0116111","201314"
"Reduced-Price Meals","","Class of 2013","0116111","201314"
"Students with Disabilities ","* ","Class of 2013","0116111","201314"
"School ","69.0 ","Class of 2013","0116111","201314"
"District ","65.3 ","Class of 2013","0116111","201314"
"Female ","83.6 ","Class of 2014","0116111","201415"
"Male ","62.9 ","Class of 2014","0116111","201415"
"Black or African American ","72.7 ","Class of 2014","0116111","201415"
"Hispanic or Latino ","* ","Class of 2014","0116111","201415"
"White ","* ","Class of 2014","0116111","201415"
"English Language Learners ","* ","Class of 2014","0116111","201415"
"Eligible for Free or ","68.9 ","Class of 2014","0116111","201415"
"Reduced-Price Meals","","Class of 2014","0116111","201415"
"Students with Disabilities ","* ","Class of 2014","0116111","201415"
"School ","73.2 ","Class of 2014","0116111","201415"
"District ","70.9 ","Class of 2014","0116111","201415"
"Female ","84.6 ","Class of 2015","0116111","201516"
"Male ","62.5 ","Class of 2015","0116111","201516"
"Black or African American ","75.5 ","Class of 2015","0116111","201516"
"Hispanic or Latino ","* ","Class of 2015","0116111","201516"
"White ","* ","Class of 2015","0116111","201516"
"English Language Learners ","* ","Class of 2015","0116111","201516"
"Eligible for Free or ","68.6 ","Class of 2015","0116111","201516"
"Reduced-Price Meals","","Class of 2015","0116111","201516"
"Students with Disabilities ","* ","Class of 2015","0116111","201516"
"School ","74.4 ","Class of 2015","0116111","201516"
"District ","70.6 ","Class of 2015","0116111","201516"
"Female ","N/A ","Class of 2013","0116311","201314"
"Male ","N/A ","Class of 2013","0116311","201314"
"Black or African American ","N/A ","Class of 2013","0116311","201314"
"Hispanic or Latino ","N/A ","Class of 2013","0116311","201314"
"White ","N/A ","Class of 2013","0116311","201314"
"English Language Learners ","N/A ","Class of 2013","0116311","201314"
"Eligible for Free or ","N/A ","Class of 2013","0116311","201314"
"Reduced-Price Meals","","Class of 2013","0116311","201314"
"Students with Disabilities ","N/A ","Class of 2013","0116311","201314"
"School ","N/A ","Class of 2013","0116311","201314"
"District ","65.3 ","Class of 2013","0116311","201314"
"Female ","* ","Class of 2014","0116311","201415"
"Male ","* ","Class of 2014","0116311","201415"
"Black or African American ","85.0 ","Class of 2014","0116311","201415"
"Hispanic or Latino ","* ","Class of 2014","0116311","201415"
"White ","* ","Class of 2014","0116311","201415"
"English Language Learners ","N/A ","Class of 2014","0116311","201415"
"Eligible for Free or ","* ","Class of 2014","0116311","201415"
"Reduced-Price Meals","","Class of 2014","0116311","201415"
"Students with Disabilities ","* ","Class of 2014","0116311","201415"
"School ","73.1 ","Class of 2014","0116311","201415"
"District ","70.9 ","Class of 2014","0116311","201415"
"Female ","* ","Class of 2015","0116311","201516"
"Male ","* ","Class of 2015","0116311","201516"
"Black or African American ","* ","Class of 2015","0116311","201516"
"Hispanic or Latino ","* ","Class of 2015","0116311","201516"
"White ","* ","Class of 2015","0116311","201516"
"English Language Learners ","N/A ","Class of 2015","0116311","201516"
"Eligible for Free or ","* ","Class of 2015","0116311","201516"
"Reduced-Price Meals","","Class of 2015","0116311","201516"
"Students with Disabilities ","* ","Class of 2015","0116311","201516"
"School ","80.0 ","Class of 2015","0116311","201516"
"District ","70.6 ","Class of 2015","0116311","201516"
"Female ","N/A ","Class of 2013","0116411","201314"
"Male ","N/A ","Class of 2013","0116411","201314"
"Black or African American ","N/A ","Class of 2013","0116411","201314"
"Hispanic or Latino ","N/A ","Class of 2013","0116411","201314"
"White ","N/A ","Class of 2013","0116411","201314"
"English Language Learners ","N/A ","Class of 2013","0116411","201314"
"Eligible for Free or ","N/A ","Class of 2013","0116411","201314"
"Reduced-Price Meals","","Class of 2013","0116411","201314"
"Students with Disabilities ","N/A ","Class of 2013","0116411","201314"
"School ","N/A ","Class of 2013","0116411","201314"
"District ","65.3 ","Class of 2013","0116411","201314"
"Female ","* ","Class of 2014","0116411","201415"
"Male ","* ","Class of 2014","0116411","201415"
"Black or African American ","* ","Class of 2014","0116411","201415"
"Hispanic or Latino ","* ","Class of 2014","0116411","201415"
"White ","N/A ","Class of 2014","0116411","201415"
"English Language Learners ","* ","Class of 2014","0116411","201415"
"Eligible for Free or ","* ","Class of 2014","0116411","201415"
"Reduced-Price Meals","","Class of 2014","0116411","201415"
"Students with Disabilities ","* ","Class of 2014","0116411","201415"
"School ","* ","Class of 2014","0116411","201415"
"District ","70.9 ","Class of 2014","0116411","201415"
"Female ","* ","Class of 2015","0116411","201516"
"Male ","* ","Class of 2015","0116411","201516"
"Black or African American ","* ","Class of 2015","0116411","201516"
"Hispanic or Latino ","* ","Class of 2015","0116411","201516"
"White ","* ","Class of 2015","0116411","201516"
"English Language Learners ","* ","Class of 2015","0116411","201516"
"Eligible for Free or ","* ","Class of 2015","0116411","201516"
"Reduced-Price Meals","","Class of 2015","0116411","201516"
"Students with Disabilities ","* ","Class of 2015","0116411","201516"
"School ","* ","Class of 2015","0116411","201516"
"District ","70.6 ","Class of 2015","0116411","201516"
"Female ","90.9 ","Class of 2013","0126111","201314"
"Male ","83.3 ","Class of 2013","0126111","201314"
"Black or African American ","83.3 ","Class of 2013","0126111","201314"
"Hispanic or Latino ","N/A ","Class of 2013","0126111","201314"
"White ","86.8 ","Class of 2013","0126111","201314"
"English Language Learners ","N/A ","Class of 2013","0126111","201314"
"Eligible for Free or ","* ","Class of 2013","0126111","201314"
"Reduced-Price Meals","","Class of 2013","0126111","201314"
"Students with Disabilities ","* ","Class of 2013","0126111","201314"
"School ","87.5 ","Class of 2013","0126111","201314"
"District ","87.5 ","Class of 2013","0126111","201314"
"Female ","92.2 ","Class of 2014","0126111","201415"
"Male ","75.6 ","Class of 2014","0126111","201415"
"Black or African American ","* ","Class of 2014","0126111","201415"
"Hispanic or Latino ","* ","Class of 2014","0126111","201415"
"White ","86.0 ","Class of 2014","0126111","201415"
"English Language Learners ","N/A ","Class of 2014","0126111","201415"
"Eligible for Free or ","* ","Class of 2014","0126111","201415"
"Reduced-Price Meals","","Class of 2014","0126111","201415"
"Students with Disabilities ","* ","Class of 2014","0126111","201415"
"School ","84.4 ","Class of 2014","0126111","201415"
"District ","84.4 ","Class of 2014","0126111","201415"
"Female ","82.1 ","Class of 2015","0126111","201516"
"Male ","80.0 ","Class of 2015","0126111","201516"
"Black or African American ","* ","Class of 2015","0126111","201516"
"Hispanic or Latino ","* ","Class of 2015","0126111","201516"
"White ","85.5 ","Class of 2015","0126111","201516"
"English Language Learners ","N/A ","Class of 2015","0126111","201516"
"Eligible for Free or ","* ","Class of 2015","0126111","201516"
"Reduced-Price Meals","","Class of 2015","0126111","201516"
"Students with Disabilities ","* ","Class of 2015","0126111","201516"
"School ","80.8 ","Class of 2015","0126111","201516"
"District ","80.8 ","Class of 2015","0126111","201516"
"Female ","79.5 ","Class of 2013","0146111","201314"
"Male ","69.1 ","Class of 2013","0146111","201314"
"Black or African American ","* ","Class of 2013","0146111","201314"
"Hispanic or Latino ","* ","Class of 2013","0146111","201314"
"White ","76.6 ","Class of 2013","0146111","201314"
"English Language Learners ","* ","Class of 2013","0146111","201314"
"Eligible for Free or ","57.4 ","Class of 2013","0146111","201314"
"Reduced-Price Meals","","Class of 2013","0146111","201314"
"Students with Disabilities ","47.2 ","Class of 2013","0146111","201314"
"School ","75.0 ","Class of 2013","0146111","201314"
"District ","75.0 ","Class of 2013","0146111","201314"
"Female ","80.1 ","Class of 2014","0146111","201415"
"Male ","65.2 ","Class of 2014","0146111","201415"
"Black or African American ","* ","Class of 2014","0146111","201415"
"Hispanic or Latino ","71.4 ","Class of 2014","0146111","201415"
"White ","71.3 ","Class of 2014","0146111","201415"
"English Language Learners ","* ","Class of 2014","0146111","201415"
"Eligible for Free or ","61.3 ","Class of 2014","0146111","201415"
"Reduced-Price Meals","","Class of 2014","0146111","201415"
"Students with Disabilities ","64.8 ","Class of 2014","0146111","201415"
"School ","73.0 ","Class of 2014","0146111","201415"
"District ","73.0 ","Class of 2014","0146111","201415"
"Female ","81.2 ","Class of 2015","0146111","201516"
"Male ","79.8 ","Class of 2015","0146111","201516"
"Black or African American ","* ","Class of 2015","0146111","201516"
"Hispanic or Latino ","* ","Class of 2015","0146111","201516"
"White ","82.9 ","Class of 2015","0146111","201516"
"English Language Learners ","* ","Class of 2015","0146111","201516"
"Eligible for Free or ","69.8 ","Class of 2015","0146111","201516"
"Reduced-Price Meals","","Class of 2015","0146111","201516"
"Students with Disabilities ","52.4 ","Class of 2015","0146111","201516"
"School ","80.5 ","Class of 2015","0146111","201516"
"District ","80.1 ","Class of 2015","0146111","201516"
"Female ","N/A ","Class of 2013","0150611","201314"
"Male ","N/A ","Class of 2013","0150611","201314"
"Black or African American ","N/A ","Class of 2013","0150611","201314"
"Hispanic or Latino ","N/A ","Class of 2013","0150611","201314"
"White ","N/A ","Class of 2013","0150611","201314"
"English Language Learners ","N/A ","Class of 2013","0150611","201314"
"Eligible for Free or ","N/A ","Class of 2013","0150611","201314"
"Reduced-Price Meals","","Class of 2013","0150611","201314"
"Students with Disabilities ","N/A ","Class of 2013","0150611","201314"
"School ","N/A ","Class of 2013","0150611","201314"
"District ","56.0 ","Class of 2013","0150611","201314"
"Female ","N/A ","Class of 2014","0150611","201415"
"Male ","N/A ","Class of 2014","0150611","201415"
"Black or African American ","N/A ","Class of 2014","0150611","201415"
"Hispanic or Latino ","N/A ","Class of 2014","0150611","201415"
"White ","N/A ","Class of 2014","0150611","201415"
"English Language Learners ","N/A ","Class of 2014","0150611","201415"
"Eligible for Free or ","N/A ","Class of 2014","0150611","201415"
"Reduced-Price Meals","","Class of 2014","0150611","201415"
"Students with Disabilities ","N/A ","Class of 2014","0150611","201415"
"School ","N/A ","Class of 2014","0150611","201415"
"District ","52.8 ","Class of 2014","0150611","201415"
"Female ","N/A ","Class of 2015","0150611","201516"
"Male ","N/A ","Class of 2015","0150611","201516"
"Black or African American ","N/A ","Class of 2015","0150611","201516"
"Hispanic or Latino ","N/A ","Class of 2015","0150611","201516"
"White ","N/A ","Class of 2015","0150611","201516"
"English Language Learners ","N/A ","Class of 2015","0150611","201516"
"Eligible for Free or ","N/A ","Class of 2015","0150611","201516"
"Reduced-Price Meals","","Class of 2015","0150611","201516"
"Students with Disabilities ","N/A ","Class of 2015","0150611","201516"
"School ","N/A ","Class of 2015","0150611","201516"
"District ","56.8 ","Class of 2015","0150611","201516"
"Female ","N/A ","Class of 2013","0150811","201314"
"Male ","N/A ","Class of 2013","0150811","201314"
"Black or African American ","N/A ","Class of 2013","0150811","201314"
"Hispanic or Latino ","N/A ","Class of 2013","0150811","201314"
"White ","N/A ","Class of 2013","0150811","201314"
"English Language Learners ","N/A ","Class of 2013","0150811","201314"
"Eligible for Free or ","N/A ","Class of 2013","0150811","201314"
"Reduced-Price Meals","","Class of 2013","0150811","201314"
"Students with Disabilities ","N/A ","Class of 2013","0150811","201314"
"School ","N/A ","Class of 2013","0150811","201314"
"District ","56.0 ","Class of 2013","0150811","201314"
"Female ","N/A ","Class of 2014","0150811","201415"
"Male ","N/A ","Class of 2014","0150811","201415"
"Black or African American ","N/A ","Class of 2014","0150811","201415"
"Hispanic or Latino ","N/A ","Class of 2014","0150811","201415"
"White ","N/A ","Class of 2014","0150811","201415"
"English Language Learners ","N/A ","Class of 2014","0150811","201415"
"Eligible for Free or ","N/A ","Class of 2014","0150811","201415"
"Reduced-Price Meals","","Class of 2014","0150811","201415"
"Students with Disabilities ","N/A ","Class of 2014","0150811","201415"
"School ","N/A ","Class of 2014","0150811","201415"
"District ","52.8 ","Class of 2014","0150811","201415"
"Female ","N/A ","Class of 2015","0150811","201516"
"Male ","N/A ","Class of 2015","0150811","201516"
"Black or African American ","N/A ","Class of 2015","0150811","201516"
"Hispanic or Latino ","N/A ","Class of 2015","0150811","201516"
"White ","N/A ","Class of 2015","0150811","201516"
"English Language Learners ","N/A ","Class of 2015","0150811","201516"
"Eligible for Free or ","N/A ","Class of 2015","0150811","201516"
"Reduced-Price Meals","","Class of 2015","0150811","201516"
"Students with Disabilities ","N/A ","Class of 2015","0150811","201516"
"School ","N/A ","Class of 2015","0150811","201516"
"District ","56.8 ","Class of 2015","0150811","201516"
"Female ","N/A ","Class of 2013","0151511","201314"
"Male ","N/A ","Class of 2013","0151511","201314"
"Black or African American ","N/A ","Class of 2013","0151511","201314"
"Hispanic or Latino ","N/A ","Class of 2013","0151511","201314"
"White ","N/A ","Class of 2013","0151511","201314"
"English Language Learners ","N/A ","Class of 2013","0151511","201314"
"Eligible for Free or ","N/A ","Class of 2013","0151511","201314"
"Reduced-Price Meals","","Class of 2013","0151511","201314"
"Students with Disabilities ","N/A ","Class of 2013","0151511","201314"
"School ","N/A ","Class of 2013","0151511","201314"
"District ","56.0 ","Class of 2013","0151511","201314"
"Female ","N/A ","Class of 2014","0151511","201415"
"Male ","N/A ","Class of 2014","0151511","201415"
"Black or African American ","N/A ","Class of 2014","0151511","201415"
"Hispanic or Latino ","N/A ","Class of 2014","0151511","201415"
"White ","N/A ","Class of 2014","0151511","201415"
"English Language Learners ","N/A ","Class of 2014","0151511","201415"
"Eligible for Free or ","N/A ","Class of 2014","0151511","201415"
"Reduced-Price Meals","","Class of 2014","0151511","201415"
"Students with Disabilities ","N/A ","Class of 2014","0151511","201415"
"School ","N/A ","Class of 2014","0151511","201415"
"District ","52.8 ","Class of 2014","0151511","201415"
"Female ","N/A ","Class of 2015","0151511","201516"
"Male ","N/A ","Class of 2015","0151511","201516"
"Black or African American ","N/A ","Class of 2015","0151511","201516"
"Hispanic or Latino ","N/A ","Class of 2015","0151511","201516"
"White ","N/A ","Class of 2015","0151511","201516"
"English Language Learners ","N/A ","Class of 2015","0151511","201516"
"Eligible for Free or ","N/A ","Class of 2015","0151511","201516"
"Reduced-Price Meals","","Class of 2015","0151511","201516"
"Students with Disabilities ","N/A ","Class of 2015","0151511","201516"
"School ","N/A ","Class of 2015","0151511","201516"
"District ","56.8 ","Class of 2015","0151511","201516"
"Female ","N/A ","Class of 2013","0151611","201314"
"Male ","N/A ","Class of 2013","0151611","201314"
"Black or African American ","N/A ","Class of 2013","0151611","201314"
"Hispanic or Latino ","N/A ","Class of 2013","0151611","201314"
"White ","N/A ","Class of 2013","0151611","201314"
"English Language Learners ","N/A ","Class of 2013","0151611","201314"
"Eligible for Free or ","N/A ","Class of 2013","0151611","201314"
"Reduced-Price Meals","","Class of 2013","0151611","201314"
"Students with Disabilities ","N/A ","Class of 2013","0151611","201314"
"School ","N/A ","Class of 2013","0151611","201314"
"District ","56.0 ","Class of 2013","0151611","201314"
"Female ","N/A ","Class of 2014","0151611","201415"
"Male ","N/A ","Class of 2014","0151611","201415"
"Black or African American ","N/A ","Class of 2014","0151611","201415"
"Hispanic or Latino ","N/A ","Class of 2014","0151611","201415"
"White ","N/A ","Class of 2014","0151611","201415"
"English Language Learners ","N/A ","Class of 2014","0151611","201415"
"Eligible for Free or ","N/A ","Class of 2014","0151611","201415"
"Reduced-Price Meals","","Class of 2014","0151611","201415"
"Students with Disabilities ","N/A ","Class of 2014","0151611","201415"
"School ","N/A ","Class of 2014","0151611","201415"
"District ","52.8 ","Class of 2014","0151611","201415"
"Female ","N/A ","Class of 2015","0151611","201516"
"Male ","N/A ","Class of 2015","0151611","201516"
"Black or African American ","N/A ","Class of 2015","0151611","201516"
"Hispanic or Latino ","N/A ","Class of 2015","0151611","201516"
"White ","N/A ","Class of 2015","0151611","201516"
"English Language Learners ","N/A ","Class of 2015","0151611","201516"
"Eligible for Free or ","N/A ","Class of 2015","0151611","201516"
"Reduced-Price Meals","","Class of 2015","0151611","201516"
"Students with Disabilities ","N/A ","Class of 2015","0151611","201516"
"School ","N/A ","Class of 2015","0151611","201516"
"District ","56.8 ","Class of 2015","0151611","201516"
"Female ","56.9 ","Class of 2013","0156111","201314"
"Male ","44.7 ","Class of 2013","0156111","201314"
"Black or African American ","54.5 ","Class of 2013","0156111","201314"
"Hispanic or Latino ","45.1 ","Class of 2013","0156111","201314"
"White ","* ","Class of 2013","0156111","201314"
"English Language Learners ","43.6 ","Class of 2013","0156111","201314"
"Eligible for Free or ","50.9 ","Class of 2013","0156111","201314"
"Reduced-Price Meals","","Class of 2013","0156111","201314"
"Students with Disabilities ","38.5 ","Class of 2013","0156111","201314"
"School ","50.9 ","Class of 2013","0156111","201314"
"District ","56.0 ","Class of 2013","0156111","201314"
"Female ","40.0 ","Class of 2014","0156111","201415"
"Male ","43.3 ","Class of 2014","0156111","201415"
"Black or African American ","45.5 ","Class of 2014","0156111","201415"
"Hispanic or Latino ","34.0 ","Class of 2014","0156111","201415"
"White ","* ","Class of 2014","0156111","201415"
"English Language Learners ","44.8 ","Class of 2014","0156111","201415"
"Eligible for Free or ","41.7 ","Class of 2014","0156111","201415"
"Reduced-Price Meals","","Class of 2014","0156111","201415"
"Students with Disabilities ","26.7 ","Class of 2014","0156111","201415"
"School ","41.7 ","Class of 2014","0156111","201415"
"District ","52.8 ","Class of 2014","0156111","201415"
"Female ","50.0 ","Class of 2015","0156111","201516"
"Male ","53.4 ","Class of 2015","0156111","201516"
"Black or African American ","53.1 ","Class of 2015","0156111","201516"
"Hispanic or Latino ","49.4 ","Class of 2015","0156111","201516"
"White ","* ","Class of 2015","0156111","201516"
"English Language Learners ","54.2 ","Class of 2015","0156111","201516"
"Eligible for Free or ","51.7 ","Class of 2015","0156111","201516"
"Reduced-Price Meals","","Class of 2015","0156111","201516"
"Students with Disabilities ","40.6 ","Class of 2015","0156111","201516"
"School ","51.7 ","Class of 2015","0156111","201516"
"District ","56.8 ","Class of 2015","0156111","201516"
"Female ","69.7","Class of 2013","0156211","201314"
"Male ","57.9","Class of 2013","0156211","201314"
"Black or African American ","67.4","Class of 2013","0156211","201314"
"Hispanic or Latino ","57.5","Class of 2013","0156211","201314"
"White ","72.7","Class of 2013","0156211","201314"
"English Language Learners ","44.2","Class of 2013","0156211","201314"
"Eligible for Free or ","64.2","Class of 2013","0156211","201314"
"Reduced-Price Meals",NA,"Class of 2013","0156211","201314"
"Students with Disabilities ","49","Class of 2013","0156211","201314"
"School ","64.2","Class of 2013","0156211","201314"
"District ","56","Class of 2013","0156211","201314"
"Female ","69.8","Class of 2014","0156211","201415"
"Male ","52.7","Class of 2014","0156211","201415"
"Black or African American ","70.1","Class of 2014","0156211","201415"
"Hispanic or Latino ","53.2","Class of 2014","0156211","201415"
"White ","47.1","Class of 2014","0156211","201415"
"English Language Learners ","55.4","Class of 2014","0156211","201415"
"Eligible for Free or ","61.8","Class of 2014","0156211","201415"
"Reduced-Price Meals",NA,"Class of 2014","0156211","201415"
"Students with Disabilities ","34","Class of 2014","0156211","201415"
"School ","61.8","Class of 2014","0156211","201415"
"District ","52.8","Class of 2014","0156211","201415"
"Female ","73.4","Class of 2015","0156211","201516"
"Male ","55.2","Class of 2015","0156211","201516"
"Black or African American ","67.4","Class of 2015","0156211","201516"
"Hispanic or Latino ","61","Class of 2015","0156211","201516"
"White ","64.4","Class of 2015","0156211","201516"
"English Language Learners ","46.8","Class of 2015","0156211","201516"
"Eligible for Free or ","65.3","Class of 2015","0156211","201516"
"Reduced-Price Meals",NA,"Class of 2015","0156211","201516"
"Students with Disabilities ","46.5","Class of 2015","0156211","201516"
"School ","65.3","Class of 2015","0156211","201516"
"District ","56.8","Class of 2015","0156211","201516"
"Female ","52.5 ","Class of 2013","0156311","201314"
"Male ","33.3 ","Class of 2013","0156311","201314"
"Black or African American ","52.1 ","Class of 2013","0156311","201314"
"Hispanic or Latino ","34.8 ","Class of 2013","0156311","201314"
"White ","* ","Class of 2013","0156311","201314"
"English Language Learners ","35.1 ","Class of 2013","0156311","201314"
"Eligible for Free or ","44.0 ","Class of 2013","0156311","201314"
"Reduced-Price Meals","","Class of 2013","0156311","201314"
"Students with Disabilities ","30.0 ","Class of 2013","0156311","201314"
"School ","44.0 ","Class of 2013","0156311","201314"
"District ","56.0 ","Class of 2013","0156311","201314"
"Female ","54.8 ","Class of 2014","0156311","201415"
"Male ","33.7 ","Class of 2014","0156311","201415"
"Black or African American ","58.2 ","Class of 2014","0156311","201415"
"Hispanic or Latino ","31.9 ","Class of 2014","0156311","201415"
