"","category","count","rate","school_id","year"
"349","Speech/Language Impairment ","20 ","90.9","0040511","201314"
"350","School ","61 ","78.2","0040511","201314"
"351","District ","","63.4","0040511","201314"
"352","Autism ","7 ","","0040511","201415"
"353","Emotional Disturbance "," ","","0040511","201415"
"354","Intellectual Disability ","0 ","0.0","0040511","201415"
"355","Learning Disability ","20 ","100.0","0040511","201415"
"356","Other Health Impairment ","12 ","","0040511","201415"
"357","Other Disabilities "," ","","0040511","201415"
"358","Speech/Language Impairment ","15 ","","0040511","201415"
"359","School ","56 ","88.8","0040511","201415"
"360","District ","","65.1","0040511","201415"
"361","Autism ","7 ","","0040511","201415"
"362","Emotional Disturbance "," ","","0040511","201415"
"363","Intellectual Disability ","0 ","0.0","0040511","201415"
"364","Learning Disability ","20 ","100.0","0040511","201415"
"365","Other Health Impairment ","12 ","","0040511","201415"
"366","Other Disabilities "," ","","0040511","201415"
"367","Speech/Language Impairment ","15 ","","0040511","201415"
"368","School ","56 ","88.8","0040511","201415"
"369","District ","","65.1","0040511","201415"
"370","Autism "," ","","0040511","201516"
"371","Emotional Disturbance "," ","","0040511","201516"
"372","Intellectual Disability "," ","","0040511","201516"
"373","Learning Disability ","16 ","","0040511","201516"
"374","Other Health Impairment "," ","","0040511","201516"
"375","Other Disabilities ","0 ","0.0","0040511","201516"
"376","Speech/Language Impairment ","9 ","","0040511","201516"
"377","School ","30 ","75.0","0040511","201516"
"378","District ","","61.5","0040511","201516"
"379","Autism "," ","","0040511","201516"
"380","Emotional Disturbance "," ","","0040511","201516"
"381","Intellectual Disability "," ","","0040511","201516"
"382","Learning Disability ","16 ","","0040511","201516"
"383","Other Health Impairment "," ","","0040511","201516"
"384","Other Disabilities ","0 ","0.0","0040511","201516"
"385","Speech/Language Impairment ","9 ","","0040511","201516"
"386","School ","30 ","75.0","0040511","201516"
"387","District ","","61.5","0040511","201516"
"388","Autism ","7 ","","0045111","201314"
"389","Emotional Disturbance "," ","","0045111","201314"
"390","Intellectual Disability ","0 ","0.0","0045111","201314"
"391","Learning Disability ","11 ","55.0","0045111","201314"
"392","Other Health Impairment ","6 ","","0045111","201314"
"393","Other Disabilities "," ","","0045111","201314"
"394","Speech/Language Impairment ","6 ","","0045111","201314"
"395","School ","30 ","60.0","0045111","201314"
"396","District ","","63.4","0045111","201314"
"397","Autism ","10 ","","0045111","201415"
"398","Emotional Disturbance "," ","","0045111","201415"
"399","Intellectual Disability ","0 ","0.0","0045111","201415"
"400","Learning Disability ","17 ","77.2","0045111","201415"
"401","Other Health Impairment ","6 ","","0045111","201415"
"402","Other Disabilities ","0 ","0.0","0045111","201415"
"403","Speech/Language Impairment ","8 ","","0045111","201415"
"404","School ","42 ","76.3","0045111","201415"
"405","District ","","65.1","0045111","201415"
"406","Autism ","10 ","","0045111","201415"
"407","Emotional Disturbance "," ","","0045111","201415"
"408","Intellectual Disability ","0 ","0.0","0045111","201415"
"409","Learning Disability ","17 ","77.2","0045111","201415"
"410","Other Health Impairment ","6 ","","0045111","201415"
"411","Other Disabilities ","0 ","0.0","0045111","201415"
"412","Speech/Language Impairment ","8 ","","0045111","201415"
"413","School ","42 ","76.3","0045111","201415"
"414","District ","","65.1","0045111","201415"
"415","Autism ","6 ","","0045111","201516"
"416","Emotional Disturbance "," ","","0045111","201516"
"417","Intellectual Disability ","0 ","0.0","0045111","201516"
"418","Learning Disability ","18 ","75.0","0045111","201516"
"419","Other Health Impairment ","11 ","","0045111","201516"
"420","Other Disabilities "," ","","0045111","201516"
"421","Speech/Language Impairment ","8 ","","0045111","201516"
"422","School ","45 ","70.3","0045111","201516"
"423","District ","","61.5","0045111","201516"
"424","Autism ","6 ","","0045111","201516"
"425","Emotional Disturbance "," ","","0045111","201516"
"426","Intellectual Disability ","0 ","0.0","0045111","201516"
"427","Learning Disability ","18 ","75.0","0045111","201516"
"428","Other Health Impairment ","11 ","","0045111","201516"
"429","Other Disabilities "," ","","0045111","201516"
"430","Speech/Language Impairment ","8 ","","0045111","201516"
"431","School ","45 ","70.3","0045111","201516"
"432","District ","","61.5","0045111","201516"
"433","Autism ","6 ","","0046111","201314"
"434","Emotional Disturbance "," ","","0046111","201314"
"435","Intellectual Disability "," ","","0046111","201314"
"436","Learning Disability ","18 ","60.0","0046111","201314"
"437","Other Health Impairment ","20 ","55.5","0046111","201314"
"438","Other Disabilities ","0 ","0.0","0046111","201314"
"439","Speech/Language Impairment "," ","","0046111","201314"
"440","School ","51 ","47.6","0046111","201314"
"441","District ","","63.4","0046111","201314"
"442","Autism ","6 ","","0046111","201415"
"443","Emotional Disturbance "," ","","0046111","201415"
"444","Intellectual Disability ","0 ","0.0","0046111","201415"
"445","Learning Disability ","13 ","46.4","0046111","201415"
"446","Other Health Impairment ","17 ","51.5","0046111","201415"
"447","Other Disabilities "," ","","0046111","201415"
"448","Speech/Language Impairment "," ","","0046111","201415"
"449","School ","45 ","42.4","0046111","201415"
"450","District ","","65.1","0046111","201415"
"451","Autism ","7 ","","0046111","201516"
"452","Emotional Disturbance "," ","","0046111","201516"
"453","Intellectual Disability ","0 ","0.0","0046111","201516"
"454","Learning Disability ","19 ","61.3","0046111","201516"
"455","Other Health Impairment ","14 ","58.3","0046111","201516"
"456","Other Disabilities "," ","","0046111","201516"
"457","Speech/Language Impairment "," ","","0046111","201516"
"458","School ","48 ","47.5","0046111","201516"
"459","District ","","61.5","0046111","201516"
"460","Autism "," ","","0050111","201314"
"461","Emotional Disturbance "," ","","0050111","201314"
"462","Intellectual Disability "," ","","0050111","201314"
"463","Learning Disability ","12 ","","0050111","201314"
"464","Other Health Impairment "," ","","0050111","201314"
"465","Other Disabilities ","0 ","0.0","0050111","201314"
"466","Speech/Language Impairment "," ","","0050111","201314"
"467","School ","25 ","75.7","0050111","201314"
"468","District ","","71.4","0050111","201314"
"469","Autism ","0 ","0.0","0050111","201415"
"470","Emotional Disturbance "," ","","0050111","201415"
"471","Intellectual Disability "," ","","0050111","201415"
"472","Learning Disability "," ","","0050111","201415"
"473","Other Health Impairment ","7 ","","0050111","201415"
"474","Other Disabilities ","0 ","0.0","0050111","201415"
"475","Speech/Language Impairment ","7 ","","0050111","201415"
"476","School ","24 ","68.5","0050111","201415"
"477","District ","","64.9","0050111","201415"
"478","Autism ","0 ","0.0","0050111","201415"
"479","Emotional Disturbance "," ","","0050111","201415"
"480","Intellectual Disability "," ","","0050111","201415"
"481","Learning Disability "," ","","0050111","201415"
"482","Other Health Impairment ","7 ","","0050111","201415"
"483","Other Disabilities ","0 ","0.0","0050111","201415"
"484","Speech/Language Impairment ","7 ","","0050111","201415"
"485","School ","24 ","68.5","0050111","201415"
"486","District ","","64.9","0050111","201415"
"487","Autism "," ","","0050111","201516"
"488","Emotional Disturbance "," ","","0050111","201516"
"489","Intellectual Disability "," ","","0050111","201516"
"490","Learning Disability ","8 ","","0050111","201516"
"491","Other Health Impairment "," ","","0050111","201516"
"492","Other Disabilities "," ","","0050111","201516"
"493","Speech/Language Impairment ","6 ","","0050111","201516"
"494","School ","21 ","75.0","0050111","201516"
"495","District ","","74.2","0050111","201516"
"496","Autism "," ","","0050111","201516"
"497","Emotional Disturbance "," ","","0050111","201516"
"498","Intellectual Disability "," ","","0050111","201516"
"499","Learning Disability ","8 ","","0050111","201516"
"500","Other Health Impairment "," ","","0050111","201516"
"501","Other Disabilities "," ","","0050111","201516"
"502","Speech/Language Impairment ","6 ","","0050111","201516"
"503","School ","21 ","75.0","0050111","201516"
"504","District ","","74.2","0050111","201516"
"505","Autism "," ","","0070111","201314"
"506","Emotional Disturbance "," ","","0070111","201314"
"507","Intellectual Disability "," ","","0070111","201314"
"508","Learning Disability "," ","","0070111","201314"
"509","Other Health Impairment ","6 ","","0070111","201314"
"510","Other Disabilities "," ","","0070111","201314"
"511","Speech/Language Impairment ","8 ","","0070111","201314"
"512","School ","20 ","83.3","0070111","201314"
"513","District ","","70.9","0070111","201314"
"514","Autism "," ","","0070111","201415"
"515","Emotional Disturbance "," ","","0070111","201415"
"516","Intellectual Disability "," ","","0070111","201415"
"517","Learning Disability ","7 ","","0070111","201415"
"518","Other Health Impairment "," ","","0070111","201415"
"519","Other Disabilities "," ","","0070111","201415"
"520","Speech/Language Impairment ","6 ","","0070111","201415"
"521","School ","18 ","81.8","0070111","201415"
"522","District ","","68.8","0070111","201415"
"523","Autism "," ","","0070111","201415"
"524","Emotional Disturbance "," ","","0070111","201415"
"525","Intellectual Disability "," ","","0070111","201415"
"526","Learning Disability ","7 ","","0070111","201415"
"527","Other Health Impairment "," ","","0070111","201415"
"528","Other Disabilities "," ","","0070111","201415"
"529","Speech/Language Impairment ","6 ","","0070111","201415"
"530","School ","18 ","81.8","0070111","201415"
"531","District ","","68.8","0070111","201415"
"532","Autism "," ","","0070111","201516"
"533","Emotional Disturbance ","0 ","0.0","0070111","201516"
"534","Intellectual Disability "," ","","0070111","201516"
"535","Learning Disability ","7 ","","0070111","201516"
"536","Other Health Impairment "," ","","0070111","201516"
"537","Other Disabilities "," ","","0070111","201516"
"538","Speech/Language Impairment ","6 ","","0070111","201516"
"539","School ","21 ","84.0","0070111","201516"
"540","District ","","65.5","0070111","201516"
"541","Autism "," ","","0070111","201516"
"542","Emotional Disturbance ","0 ","0.0","0070111","201516"
"543","Intellectual Disability "," ","","0070111","201516"
"544","Learning Disability ","7 ","","0070111","201516"
"545","Other Health Impairment "," ","","0070111","201516"
"546","Other Disabilities "," ","","0070111","201516"
"547","Speech/Language Impairment ","6 ","","0070111","201516"
"548","School ","21 ","84.0","0070111","201516"
"549","District ","","65.5","0070111","201516"
"550","Autism "," ","","0070411","201314"
"551","Emotional Disturbance ","0 ","0.0","0070411","201314"
"552","Intellectual Disability "," ","","0070411","201314"
"553","Learning Disability ","10 ","","0070411","201314"
"554","Other Health Impairment "," ","","0070411","201314"
"555","Other Disabilities ","0 ","0.0","0070411","201314"
"556","Speech/Language Impairment ","8 ","","0070411","201314"
"557","School ","0 ","0.0","0070411","201314"
"558","District ","","70.9","0070411","201314"
"559","Autism ","8 ","","0070411","201415"
"560","Emotional Disturbance "," ","","0070411","201415"
"561","Intellectual Disability "," ","","0070411","201415"
"562","Learning Disability "," ","","0070411","201415"
"563","Other Health Impairment "," ","","0070411","201415"
"564","Other Disabilities "," ","","0070411","201415"
"565","Speech/Language Impairment ","16 ","","0070411","201415"
"566","School ","37 ","90.2","0070411","201415"
"567","District ","","68.8","0070411","201415"
"568","Autism ","8 ","","0070411","201415"
"569","Emotional Disturbance "," ","","0070411","201415"
"570","Intellectual Disability "," ","","0070411","201415"
"571","Learning Disability "," ","","0070411","201415"
"572","Other Health Impairment "," ","","0070411","201415"
"573","Other Disabilities "," ","","0070411","201415"
"574","Speech/Language Impairment ","16 ","","0070411","201415"
"575","School ","37 ","90.2","0070411","201415"
"576","District ","","68.8","0070411","201415"
"577","Autism "," ","","0070411","201516"
"578","Emotional Disturbance "," ","","0070411","201516"
"579","Intellectual Disability ","0 ","0.0","0070411","201516"
"580","Learning Disability "," ","","0070411","201516"
"581","Other Health Impairment "," ","","0070411","201516"
"582","Other Disabilities ","0 ","0.0","0070411","201516"
"583","Speech/Language Impairment ","21 ","91.3","0070411","201516"
"584","School ","34 ","70.8","0070411","201516"
"585","District ","","65.5","0070411","201516"
"586","Autism "," ","","0070411","201516"
